id	direction	compartment	gpr	name	enzyme	deltag	reference	equation	definition	ms id	bigg id	kegg id	kegg pathways	metacyc pathways
rxn05645_c0	>	Cytosol	Unknown	riboflavin transport in via proton symport		0		(1)  cpd00067[e0] + (1)  cpd00220[e0] => (1)  cpd00067[c0] + (1)  cpd00220[c0]	(1)  H+ [e0][e0] + (1)  Riboflavin [e0][e0] => (1)  H+ [c0][c0] + (1)  Riboflavin [c0][c0]	rxn05645	RIBFLVt2			
rxn02028_c0	>	Cytosol	BHNFPM_01330_gene	Trimethylaminoacetate:L-homosysteine S-methyltransferase	2.1.1.5	-36.39		(1)  cpd00135[c0] + (1)  cpd00540[c0] => (1)  cpd00060[c0] + (1)  cpd00756[c0]	(1)  Homocysteine [c0][c0] + (1)  BET [c0][c0] => (1)  L-Methionine [c0][c0] + (1)  Dimethylglycine [c0][c0]	rxn02028	BHMT	R02821	Glycine, serine and threonine metabolism|Cysteine and methionine metabolism	ADENOSYLHOMOCYSCAT-PWY|AMINE-DEG|Amino-Acid-Biosynthesis|Amino-Acid-Degradation|Biosynthesis|Degradation|IND-AMINO-ACID-SYN|METHIONINE-DEG|METHIONINE-SYN
rxn00829_c0	>	Cytosol	Unknown	ATP:(R)-5-diphosphomevalonate carboxy-lyase (adding ATP; isopentenyl-diphosphate-forming)		-7.8		(1)  cpd00002[c0] + (1)  cpd00841[c0] => (1)  cpd00008[c0] + (1)  cpd00009[c0] + (1)  cpd00011[c0] + (1)  cpd00113[c0]	(1)  ATP [c0][c0] + (1)  5-diphosphomevalonate [c0][c0] => (1)  ADP [c0][c0] + (1)  Phosphate [c0][c0] + (1)  CO2 [c0][c0] + (1)  Isopentenyldiphosphate [c0][c0]	rxn00829	DPMVD	R01121	Terpenoid backbone biosynthesis	Biosynthesis|Cofactor-Biosynthesis|DITERPENOID-SYN|ERGOSTEROL-SYN-PWY|GGPP-Biosynthesis|ISOPRENOIDS|Lipid-Biosynthesis|PWY66-5|Polyprenyl-Biosynthesis|SECONDARY-METABOLITE-BIOSYNTHESIS|Sterol-Biosynthesis|Terpenoid-Biosynthesis
rxn09113_c0	>	Cytosol	BHNFPM_02101_gene	Phosphatidylglycerol synthase (n-C18:0)		614.42		(1)  cpd00080[c0] + (1)  cpd15421[c0] => (1)  cpd00046[c0] + (1)  cpd15547[c0]	(1)  Glycerol-3-phosphate [c0][c0] + (1)  CDP-1,2-dioctadecanoylglycerol [c0][c0] => (1)  CMP [c0][c0] + (1)  Phosphatidylglycerophosphate dioctadecanoyl [c0][c0]	rxn09113	PGSA180			
rxn10626_c0	>	Cytosol	Unknown	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase		-25.41		(1)  cpd00199[c0] + (1)  cpd00658[c0] => (1)  cpd00020[c0] + (1)  cpd03451[c0]	(1)  4-Oxobutanoate [c0][c0] + (1)  Isochorismate [c0][c0] => (1)  Pyruvate [c0][c0] + (1)  SHCHC [c0][c0]	rxn10626	SHCHCS			
rxn01607_c0	>	Cytosol	Unknown	ATP:(R)-mevalonate 5-phosphotransferase		-14.03		(1)  cpd00002[c0] + (1)  cpd00332[c0] => (1)  cpd00008[c0] + (1)  cpd00067[c0] + (1)  cpd00812[c0]	(1)  ATP [c0][c0] + (1)  Mevalonic acid [c0][c0] => (1)  ADP [c0][c0] + (1)  H+ [c0][c0] + (1)  5-phosphomevalonate [c0][c0]	rxn01607	ERG12_1	R02245	Terpenoid backbone biosynthesis	Biosynthesis|Cofactor-Biosynthesis|DITERPENOID-SYN|ERGOSTEROL-SYN-PWY|GGPP-Biosynthesis|ISOPRENOIDS|Lipid-Biosynthesis|PWY66-5|Polyprenyl-Biosynthesis|SECONDARY-METABOLITE-BIOSYNTHESIS|Sterol-Biosynthesis|Terpenoid-Biosynthesis
rxn00941_c0	>	Cytosol	Unknown	nicotinamide-D-ribonucleotide:diphosphate phospho-alpha-D-ribosyltransferase	2.4.2.12	9.6		(1)  cpd00012[c0] + (1)  cpd00355[c0] => (1)  cpd00103[c0] + (1)  cpd00133[c0]	(1)  PPi [c0][c0] + (1)  Nicotinamide ribonucleotide [c0][c0] => (1)  PRPP [c0][c0] + (1)  Nicotinamide [c0][c0]	rxn00941		R01271	Nicotinate and nicotinamide metabolism	Biosynthesis|Cofactor-Biosynthesis|NAD-BIOSYNTHESIS-III|NAD-Metabolism|NAD-SYN
rxn05148_c0	>	Cytosol	Unknown	Heme transport via ABC system		-6.82		(1)  cpd00001[c0] + (1)  cpd00002[c0] + (1)  cpd00028[e0] => (1)  cpd00008[c0] + (1)  cpd00009[c0] + (1)  cpd00028[c0] + (1)  cpd00067[c0]	(1)  H2O [c0][c0] + (1)  ATP [c0][c0] + (1)  Heme [e0][e0] => (1)  ADP [c0][c0] + (1)  Phosphate [c0][c0] + (1)  Heme [c0][c0] + (1)  H+ [c0][c0]	rxn05148	HEMEti			
rxn00297_c0	<	Cytosol	BHNFPM_02121_gene	UDP-N-acetyl-D-glucosamine 2-epimerase		0		(1)  cpd00037[c0] <= (1)  cpd00861[c0]	(1)  UDP-N-acetylglucosamine [c0][c0] <= (1)  UDP-N-acetyl-D-mannosamine [c0][c0]	rxn00297	UAG2E	R00420	Amino sugar and nucleotide sugar metabolism	Biosynthesis|Cell-Structure-Biosynthesis|ECASYN-PWY|TEICHOICACID-PWY
rxn00137_c0	>	Cytosol	Unknown	Adenosine 3',5'-bisphosphate 3'-phosphohydrolase		7.21		(1)  cpd00001[c0] + (1)  cpd00045[c0] => (1)  cpd00009[c0] + (1)  cpd00018[c0]	(1)  H2O [c0][c0] + (1)  Adenosine 3-5-bisphosphate [c0][c0] => (1)  Phosphate [c0][c0] + (1)  AMP [c0][c0]	rxn00137	BPNT	R00188		
rxn06023_c0	>	Cytosol	Unknown	CoA:apo-[acyl-carrier-protein] pantetheinephosphotransferase				(1)  cpd00010[c0] + (1)  cpd12370[c0] => (1)  cpd00045[c0] + (1)  cpd11493[c0]	(1)  CoA [c0][c0] + (1)  apo-ACP [c0][c0] => (1)  Adenosine 3-5-bisphosphate [c0][c0] + (1)  ACP [c0][c0]	rxn06023		R01625	Pantothenate and CoA biosynthesis	Biosynthesis|Cofactor-Biosynthesis
rxn11337_c0	>	Cytosol	Unknown	rxn11337		0		(1)  cpd00067[e0] + (1)  cpd01400[e0] => (1)  cpd00066[c0] + (1)  cpd00067[c0]	(1)  H+ [e0][e0] + (1)  Phenylalanine [e0][e0] => (1)  L-Phenylalanine [c0][c0] + (1)  H+ [c0][c0]	rxn11337				
rxn00611_c0	<	Cytosol	BHNFPM_02722_gene	sn-Glycerol-3-phosphate:NAD+ 2-oxidoreductase	1.1.1.8	3.76		(1)  cpd00003[c0] + (1)  cpd00080[c0] <= (1)  cpd00004[c0] + (1)  cpd00067[c0] + (1)  cpd00095[c0]	(1)  NAD [c0][c0] + (1)  Glycerol-3-phosphate [c0][c0] <= (1)  NADH [c0][c0] + (1)  H+ [c0][c0] + (1)  Glycerone-phosphate [c0][c0]	rxn00611	G3PD1	R00842	Glycerophospholipid metabolism	Biosynthesis|CDP-diacylglycerol-Biosynthesis|Energy-Metabolism|Lipid-Biosynthesis|OTHER-ENERGY|PHOSLIPSYN-PWY|PHOSLIPSYN2-PWY|PWY0-1319|PWY4FS-7|PWY4FS-8|PhosphatidylglycerolBiosynthesis|Phospholipid-Biosynthesis
rxn10193_c0	>	Cytosol	Unknown	Poly(glycerol-phosphate) alpha-glucosyltransferase		-76.5		(45)  cpd00026[c0] + (1)  cpd15661[c0] => (45)  cpd00014[c0] + (1)  cpd15662[c0]	(45)  UDP-glucose [c0][c0] + (1)  Prenol-45n teichoic acid [c0][c0] => (45)  UDP [c0][c0] + (1)  Prenol-45n teichoic acid-glucose substituted [c0][c0]	rxn10193				
