knockouts,n_knockouts,max_growth,min_PHB_at_max_growth
23CAMPtex + VALt3pp,2,0.4288684662592427,0.0
23CAMPtex + VALtex,2,0.42886846625924246,0.0
23CAMPtex + VECOAH,2,0.4294055429440395,0.0
23CAMPtex + VNDH_2,2,0.4294055429440395,0.0
23CAMPtex + VPAMTr,2,0.4294055429440334,0.0
23CAMPtex + XANt2,2,0.4294055429440334,0.0
23CAMPtex + XPPT,2,0.4294055429440334,0.0
23CAMPtex + XTSNH,2,0.4294055429440334,0.0
23CAMPtex + XYLI1,2,0.4294055429440334,0.0
23CAMPtex + XYLI2,2,0.4294055429440334,0.0
23CAMPtex + XYLK,2,0.4294055429440334,0.0
23CAMPtex + XYLabc,2,0.4294055429440334,0.0
23CAMPtex + XYLabcpp,2,0.4294055429440334,0.0
23CAMPtex + XYLt2,2,0.4294055429440334,0.0
23CAMPtex + 23PDE4pp,2,0.4294055429440334,0.0
23CAMPtex + 23PDE2pp,2,0.4294055429440334,0.0
23CCMPtex + 23CGMPtex,2,0.35938428278618667,0.0
23CAMPtex + 2MAHMP,2,0.4294055429440397,0.0
23CAMPtex + 2PGLYCt6,2,0.4294055429440397,0.0
23CAMPtex + 2S6HCCi,2,0.4294055429440397,0.0
23CAMPtex + 34HPPOR,2,0.4294055429440397,0.0
23CAMPtex + 3AMPt6,2,0.42788108683013437,0.0
23CAMPtex + 3CMPt6,2,0.42940554294404115,0.0
23CAMPtex + 3GMPtex_1,2,0.2037277528657765,0.0
23CAMPtex + 3MBt2pp,2,0.42940554294403926,0.0
23CAMPtex + 3MBt4pp,2,0.42940554294403926,0.0
23CAMPtex + 3MBtex,2,0.42940554294403926,0.0
23CAMPtex + 3NTD2pp,2,0.42940554294403926,0.0
23CAMPtex + 3NTD4pp,2,0.42940554294403926,0.0
23CAMPtex + 3NTD7pp,2,0.42940554294403926,0.0
23CAMPtex + VALt2r,2,0.42940554294403926,0.0
23CAMPtex + VALt2rpp,2,0.4294055429440394,0.0
23CCMPtex + VALtex,2,0.4288684662592427,0.0
23CCMPtex + VECOAH,2,0.42940554294404,0.0
23CCMPtex + VNDH_2,2,0.42940554294404,0.0
23CCMPtex + VPAMTr,2,0.42940554294404,0.0
23CCMPtex + XANt2,2,0.42940554294404,0.0
23CCMPtex + XPPT,2,0.42940554294404,0.0
23CCMPtex + XTSNH,2,0.42940554294404,0.0
23CCMPtex + XYLI1,2,0.42940554294404,0.0
23CCMPtex + XYLI2,2,0.42940554294404,0.0
23CCMPtex + XYLK,2,0.42940554294404,0.0
23CCMPtex + XYLabc,2,0.42940554294404,0.0
23CCMPtex + XYLabcpp,2,0.42940554294404,0.0
23CCMPtex + XYLt2,2,0.42940554294404,0.0
23CCMPtex + 23PDE4pp,2,0.42940554294404,0.0
23CCMPtex + 23PDE2pp,2,0.42940554294404,0.0
23CCMPtex + 23CUMPtex,2,0.4294055429440477,0.0
23CCMPtex + 2MAHMP,2,0.4294055429440504,0.0
23CCMPtex + 2PGLYCt6,2,0.4294055429440504,0.0
23CCMPtex + 2S6HCCi,2,0.4294055429440504,0.0
23CCMPtex + 34HPPOR,2,0.4294055429440504,0.0
23CCMPtex + 3AMPt6,2,0.4294055429440504,0.0
23CCMPtex + 3CMPt6,2,0.4294055429440385,0.0
23CCMPtex + 3GMPtex_1,2,0.2051989985334459,0.0
23CCMPtex + 3MBt2pp,2,0.4294055429440388,0.0
23CCMPtex + 3MBt4pp,2,0.4294055429440388,0.0
23CCMPtex + 3MBtex,2,0.4294055429440388,0.0
23CCMPtex + 3NTD2pp,2,0.4294055429440388,0.0
23CCMPtex + 3NTD4pp,2,0.4294055429440388,0.0
23CCMPtex + 3NTD7pp,2,0.42940554294403854,0.0
23CCMPtex + VALt2r,2,0.42940554294403854,0.0
23CCMPtex + VALt2rpp,2,0.4294055429440391,0.0
23CCMPtex + VALt3pp,2,0.4288684662592431,0.0
23CGMPtex + VALtex,2,0.35865427446566817,0.0
23CGMPtex + VECOAH,2,0.35938428278619067,0.0
23CGMPtex + VNDH_2,2,0.35938428278619067,0.0
23CGMPtex + VPAMTr,2,0.35938428278619067,0.0
23CGMPtex + XANt2,2,0.35938428278619067,0.0
23CGMPtex + XPPT,2,0.35938428278619067,0.0
23CGMPtex + XTSNH,2,0.35938428278619067,0.0
23CGMPtex + XYLI1,2,0.35938428278619067,0.0
23CGMPtex + XYLI2,2,0.35938428278619067,0.0
23CGMPtex + XYLK,2,0.35938428278619067,0.0
23CGMPtex + XYLabc,2,0.35938428278619067,0.0
23CGMPtex + XYLabcpp,2,0.35938428278619067,0.0
23CGMPtex + XYLt2,2,0.35938428278619067,0.0
23CGMPtex + 23PDE4pp,2,0.35938428278619067,0.0
23CGMPtex + 23PDE2pp,2,0.35938428278619067,0.0
23CGMPtex + 23CUMPtex,2,0.35938428278619067,0.0
23CGMPtex + 2MAHMP,2,0.35938428278618867,0.0
23CGMPtex + 2PGLYCt6,2,0.35938428278618867,0.0
23CGMPtex + 2S6HCCi,2,0.35938428278618867,0.0
23CGMPtex + 34HPPOR,2,0.35938428278618867,0.0
23CGMPtex + 3AMPt6,2,0.35938428278618867,0.0
23CGMPtex + 3CMPt6,2,0.3593842827861882,0.0
23CGMPtex + 3GMPtex_1,2,0.20476089359699892,0.0
23CGMPtex + 3MBt2pp,2,0.3593842827861885,0.0
23CGMPtex + 3MBt4pp,2,0.3593842827861885,0.0
23CGMPtex + 3MBtex,2,0.3593842827861885,0.0
23CGMPtex + 3NTD2pp,2,0.3593842827861885,0.0
23CGMPtex + 3NTD4pp,2,0.3593842827861884,0.0
23CGMPtex + 3NTD7pp,2,0.35874048795323266,0.0
23CGMPtex + VALt2r,2,0.3593842827861885,0.0
23CGMPtex + VALt2rpp,2,0.35938428278618756,0.0
23CGMPtex + VALt3pp,2,0.3586542744656666,0.0
23CUMPtex + VALt3pp,2,0.42886846625924313,0.0
23CUMPtex + VALtex,2,0.42886846625924024,0.0
23CUMPtex + VECOAH,2,0.42940554294403716,0.0
23CUMPtex + VNDH_2,2,0.42940554294403716,0.0
23CUMPtex + VPAMTr,2,0.4294055429440399,0.0
23CUMPtex + XANt2,2,0.4294055429440399,0.0
23CUMPtex + XPPT,2,0.4294055429440399,0.0
23CUMPtex + XTSNH,2,0.4294055429440399,0.0
23CUMPtex + XYLI1,2,0.4294055429440399,0.0
23CUMPtex + XYLI2,2,0.4294055429440399,0.0
23CUMPtex + XYLK,2,0.4294055429440399,0.0
23CUMPtex + XYLabc,2,0.4294055429440399,0.0
23CUMPtex + XYLabcpp,2,0.4294055429440399,0.0
23CUMPtex + XYLt2,2,0.4294055429440399,0.0
23CUMPtex + 23PDE4pp,2,0.4294055429440399,0.0
23CUMPtex + 23PDE2pp,2,0.429405542944039,0.0
23PDE2pp + 23PDE4pp,2,0.4294055429440348,0.0
23CUMPtex + 2MAHMP,2,0.42940554294403493,0.0
23CUMPtex + 2PGLYCt6,2,0.42940554294403493,0.0
23CUMPtex + 2S6HCCi,2,0.42940554294403493,0.0
23CUMPtex + 34HPPOR,2,0.42940554294403493,0.0
23CUMPtex + 3AMPt6,2,0.42940554294403493,0.0
23CUMPtex + 3CMPt6,2,0.4294055429440382,0.0
23CUMPtex + 3GMPtex_1,2,0.20519899853344598,0.0
23CUMPtex + 3MBt2pp,2,0.42940554294403943,0.0
23CUMPtex + 3MBt4pp,2,0.42940554294403943,0.0
23CUMPtex + 3MBtex,2,0.42940554294403943,0.0
23CUMPtex + 3NTD2pp,2,0.42940554294403943,0.0
23CUMPtex + 3NTD4pp,2,0.42940554294403943,0.0
23CUMPtex + 3NTD7pp,2,0.429405542944048,0.0
23CUMPtex + VALt2r,2,0.429405542944048,0.0
23CUMPtex + VALt2rpp,2,0.42940554294403904,0.0
23PDE2pp + VALt2r,2,0.4294055429440348,0.0
23PDE2pp + VALt2rpp,2,0.4294055429440401,0.0
23PDE2pp + VALt3pp,2,0.4288684662592427,0.0
23PDE2pp + VALtex,2,0.42886846625923497,0.0
23PDE2pp + VECOAH,2,0.4294055429440348,0.0
23PDE2pp + VNDH_2,2,0.4294055429440348,0.0
23PDE2pp + VPAMTr,2,0.4294055429440348,0.0
23PDE2pp + XANt2,2,0.4294055429440348,0.0
23PDE2pp + XPPT,2,0.4294055429440348,0.0
23PDE2pp + XTSNH,2,0.4294055429440348,0.0
23PDE2pp + XYLI1,2,0.4294055429440348,0.0
23PDE2pp + XYLI2,2,0.4294055429440348,0.0
23PDE2pp + XYLK,2,0.4294055429440348,0.0
23PDE2pp + XYLabc,2,0.4294055429440348,0.0
23PDE2pp + XYLabcpp,2,0.4294055429440348,0.0
23PDE2pp + XYLt2,2,0.4294055429440348,0.0
23PDE4pp + XYLabc,2,0.42940554294403993,0.0
23PDE4pp + XYLabcpp,2,0.42940554294403993,0.0
23PDE4pp + XYLt2,2,0.42940554294403993,0.0
23PDE2pp + 2MAHMP,2,0.4294055429440366,0.0
23PDE2pp + 2PGLYCt6,2,0.4294055429440366,0.0
23PDE2pp + 2S6HCCi,2,0.4294055429440366,0.0
23PDE2pp + 34HPPOR,2,0.4294055429440366,0.0
23PDE2pp + 3AMPt6,2,0.4294055429440366,0.0
23PDE2pp + 3CMPt6,2,0.42940554294405514,0.0
23PDE2pp + 3GMPtex_1,2,0.20519899853345447,0.0
23PDE2pp + 3MBt2pp,2,0.4294055429440417,0.0
23PDE2pp + 3MBt4pp,2,0.4294055429440417,0.0
23PDE2pp + 3MBtex,2,0.4294055429440417,0.0
23PDE2pp + 3NTD2pp,2,0.4294055429440417,0.0
23PDE2pp + 3NTD4pp,2,0.4294055429440417,0.0
23PDE2pp + 3NTD7pp,2,0.4294055429440348,0.0
23PDE4pp + 3NTD2pp,2,0.4294055429440411,0.0
23PDE4pp + 3NTD4pp,2,0.4294055429440411,0.0
23PDE4pp + 3NTD7pp,2,0.4294055429440401,0.0
23PDE4pp + VALt2r,2,0.4294055429440401,0.0
23PDE4pp + VALt2rpp,2,0.42940554294403893,0.0
23PDE4pp + VALt3pp,2,0.42886846625924213,0.0
23PDE4pp + VALtex,2,0.428868466259243,0.0
23PDE4pp + VECOAH,2,0.42940554294403993,0.0
23PDE4pp + VNDH_2,2,0.42940554294403993,0.0
23PDE4pp + VPAMTr,2,0.42940554294403993,0.0
23PDE4pp + XANt2,2,0.42940554294403993,0.0
23PDE4pp + XPPT,2,0.42940554294403993,0.0
23PDE4pp + XTSNH,2,0.42940554294403993,0.0
23PDE4pp + XYLI1,2,0.42940554294403993,0.0
23PDE4pp + XYLI2,2,0.42940554294403993,0.0
23PDE4pp + XYLK,2,0.42940554294403993,0.0
XTSNH + XYLt2,2,0.42940554294404276,0.0
XYLI1 + XYLt2,2,0.42940554294404276,0.0
XYLI2 + XYLt2,2,0.42940554294404276,0.0
XYLK + XYLt2,2,0.42940554294404276,0.0
XYLabc + XYLt2,2,0.42940554294404276,0.0
XYLabcpp + XYLt2,2,0.42940554294404276,0.0
23PDE4pp + 2MAHMP,2,0.42940554294403666,0.0
23PDE4pp + 2PGLYCt6,2,0.42940554294403666,0.0
23PDE4pp + 2S6HCCi,2,0.42940554294403666,0.0
23PDE4pp + 34HPPOR,2,0.42940554294403666,0.0
23PDE4pp + 3AMPt6,2,0.42940554294403666,0.0
23PDE4pp + 3CMPt6,2,0.4294055429440394,0.0
23PDE4pp + 3GMPtex_1,2,0.20519899853344492,0.0
23PDE4pp + 3MBt2pp,2,0.4294055429440411,0.0
23PDE4pp + 3MBt4pp,2,0.4294055429440411,0.0
23PDE4pp + 3MBtex,2,0.4294055429440411,0.0
3GMPtex_1 + XYLt2,2,0.20519899853344592,0.0
3MBt2pp + XYLt2,2,0.4294055429440314,0.0
3MBt4pp + XYLt2,2,0.4294055429440314,0.0
3MBtex + XYLt2,2,0.4294055429440314,0.0
3NTD2pp + XYLt2,2,0.4294055429440314,0.0
3NTD4pp + XYLt2,2,0.4294055429440314,0.0
3NTD7pp + XYLt2,2,0.4294055429440387,0.0
VALt2r + XYLt2,2,0.4294055429440387,0.0
VALt2rpp + XYLt2,2,0.42940554294404015,0.0
VALt3pp + XYLt2,2,0.4288684662592431,0.0
VALtex + XYLt2,2,0.4288684662592438,0.0
VECOAH + XYLt2,2,0.42940554294404276,0.0
VNDH_2 + XYLt2,2,0.42940554294404276,0.0
