knockouts,n_knockouts,max_growth,min_PHB_at_max_growth
ALALEUtex,1,0.4294055429440395,0.0
ALALEUt,1,0.4294055429440395,0.0
ALALEUabcpp,1,0.4294055429440395,0.0
ALAHIStr,1,0.4294055429440395,0.0
ALAHIStex,1,0.4294055429440395,0.0
ALAHISabcpp,1,0.4294055429440395,0.0
ALAGLYtr,1,0.4294055429440395,0.0
ALAGLUabcpp,1,0.4294055429440395,0.0
ALAGLNtr,1,0.4294055429440395,0.0
ALAD_L,1,0.42940554294403965,0.0
ALAALAabcpp,1,0.42940554294403943,0.0
AKP1,1,0.4294055429440394,0.0
AKGDH,1,0.3589791801261699,0.0
AIRCr,1,0.42940554294403704,0.0
AIRC1,1,0.42940554294403704,0.0
AICART,1,0.42940554294403704,0.0
ALAtex,1,0.36353170035560645,0.0
ALAt4,1,0.4294055429440399,0.0
ALAt2r,1,0.4294055429440399,0.0
ALAt2pp,1,0.4294055429440399,0.0
ALAabcpp,1,0.4294055429440399,0.0
ALAabc,1,0.4294055429440399,0.0
ALATRPtex,1,0.4294055429440399,0.0
ALATRPabcpp,1,0.4294055429440399,0.0
ALATHRtr,1,0.4294055429440399,0.0
ALATHRtex,1,0.4294055429440399,0.0
ALATHRabcpp,1,0.4294055429440399,0.0
ALATA_L2,1,0.4294055429440399,0.0
ALATA_L,1,0.4294055429440395,0.0
ALATA_D2,1,0.4294055429440395,0.0
ALATA_D,1,0.4294055429440395,0.0
ALAR,1,0.4294055429440395,0.0
ALDD4,1,0.42940554294403943,0.0
ALDD3y,1,0.42940554294403943,0.0
ALDD31_1,1,0.42940554294403943,0.0
ALDD3,1,0.42940554294403943,0.0
ALDD2y,1,0.42940554294403943,0.0
ALDD2x,1,0.42940554294403943,0.0
ALDD20y,1,0.42940554294403943,0.0
ALDD20x,1,0.42940554294403954,0.0
ALDD19xr,1,0.42520525973098966,0.0
ALDD1,1,0.42940554294404004,0.0
ALCD2y,1,0.42940554294404004,0.0
ALCD2x,1,0.42940554294404004,0.0
ALCD2ir,1,0.42940554294404004,0.0
ALCD19y,1,0.42940554294404004,0.0
