reaction_id,reaction_name,subsystem,distance_from_PHB
ACOAD2,Acyl-CoA dehydrogenase (hexanoyl-CoA),,4
ACOAD3,Acyl-CoA dehydrogenase (octanoyl-CoA),,4
ACOAD4_1,Acyl CoA dehydrogenase  decanoyl CoA,,4
ACOAD5_1,Acyl CoA dehydrogenase  dodecanoyl CoA,,4
ACOAD6,Acyl-CoA dehydrogenase (tetradecanoyl-CoA),,4
ACOAD7,Acyl-CoA dehydrogenase (hexadecanoyl-CoA),,4
ACOADH2,Acyl CoA dehydrogenase  isobutyryl CoA,,4
ACONCt4pp,Citrate transport via sodium symport  periplasm,,4
ACONT,Aconitate hydratase,,4
ACONTa,"Aconitase (half-reaction A, Citrate hydro-lyase)",,4
ACONTb,"Aconitase (half-reaction B, Isocitrate hydro-lyase)",,4
ACOTA,Acetylornithine transaminase,,4
ACS2,Acetyl-CoA synthase (propionate),,4
ACTD,Acetoin dehydrogenase,,4
ACTD_1,,,4
ACTDa,Acetoin dehydrogenase,,4
ACTNabc,Acetoin transport via ABC system,,4
ACTNabc1,Acetoin efflux  via ABC system,,4
ACtex,Acetate transport via diffusion (extracellular to periplasm),,4
ADAPAT,"E N-acetyl-L,L-diaminopimelate aminotransferase",,4
ADCL,4-aminobenzoate synthase,,4
ADCS,4-amino-4-deoxychorismate synthase,,4
ADNt2pp,Adenosine transport in via proton symport (periplasm),,4
ADSL1r,Adenylsuccinate lyase,,4
ADSL2r,Adenylosuccinate lyase,,4
ADtr,"Acetamide transport, extracellular",,4
AEPPYRTA,2 aminoethylphosphonate pyruvate transaminase,,4
AGM4Pt2pp,GlcNAc-anhMurNAc tetrapeptide transport in via proton symport (periplasm),,4
AGMPTRCtpp,Agmatine/putrescine antiporter (periplasm),,4
AGMT,Agmatinase,,4
AGMt2pp,GlcNAc-anhMurNAc transport in via proton symport (periplasm),,4
AGPATr_BS,1 acylglycerol 3 phosphate O acyltransferase,,4
AHCi,Adenosylhomocysteinase,,4
ALAD_L,L-alanine dehydrogenase,,4
ALATA_D,D-alanine transaminase,,4
ALATA_D2,D-alanine transaminase,,4
ALATA_L,L-alanine transaminase,,4
ALATA_L2,Alanine transaminase,,4
ALAt2pp,L-alanine transport in via proton symport (periplasm),,4
ALCD2ir,Alcohol dehydrogenase  reverse rxn  acetaldehyde   ethanol,,4
ALCD2x,Alcohol dehydrogenase (ethanol),,4
ALCD2y,"Alcohol dehydrogenase (ethanol, NADP)",,4
ALDD31_1,Aldehyde dehydrogenase  aminoacetaldehyde  NAD,,4
ALDD6,Aldehyde dehydrogenase  hexanal  NAD,,4
AMANAPEr,N-acetylmannosamine 6-phosphate epimerase,,4
AMMQLT8,S-adenosylmethione:2-demthylmenaquinole methyltransferase (menaquinone 8),,4
AMMQT8_2,S-adenosylmethione:2-demethylmenaquinone methyltransferase,,4
AMPEP1,Aminopeptidase,,4
AMPEP10,Aminopeptidase,,4
AMPEP11,Aminopeptidase,,4
AMPEP14,Aminopeptidase,,4
AMPEP15,Aminopeptidase,,4
AMPEP16,Aminopeptidase,,4
AMPEP17,Aminopeptidase,,4
AMPEP18,Aminopeptidase,,4
AMPEP3,Aminopeptidase,,4
AMPEP4,Aminopeptidase,,4
AMPEP5,Aminopeptidase,,4
AMPEP8,Aminopeptidase,,4
AMPEP9,Aminopeptidase,,4
AMPTASECG,Alanyl aminopeptidase (cys-gly),,4
AMPTASEGGLN,Aminopeptidase  Gly Gln,,4
AMPTASEGGLU,Aminopeptidase  Gly Glu,,4
AMPTASEGM,Aminopeptidase  Gly Met,,4
AMPTASEGS,Aminopeptidase  Gly Ser,,4
AMPTASEHG,Aminopeptidase  His Gly,,4
AMPTASEPG,Aminopeptidase (pro-gly),,4
ANS,Anthranilate synthase,,4
ANS2,Anthranilate synthase 2,,4
ANSN,Anthranilate synthase (NH3),,4
APRTO2,N acetylputrescine oxygen oxireductase  deaminating,,4
APSR,Adenosine 5'-phosphosulfate reductase;,,4
APTA1i,Acetyl L L diaminopimelate aminotransferase,,4
APTNAT,5-aminopentanoate:2-oxoglutarate aminotransferase,,4
ARBTpts,Arbutin transport via PEPPyr PTS,,4
ARGSL,Argininosuccinate lyase,,4
ASNS1,Asparagine synthase (glutamine-hydrolysing),,4
ASPO1,L-aspartate oxidase,,4
ASPTA,Aspartate transaminase,,4
ASPTA6,E L-alanine-alpha-keto acid aminotransferase,,4
ASPt2_2pp,Aspartate transport via proton symport (2 H) (periplasm),,4
ASPt2pp,L-aspartate transport in via proton symport (periplasm),,4
ATHRDHr,L-allo-threonine dehydrogenase,,4
BALAt2pp,Beta-alanine transport in via proton symport (periplasm),,4
BHBtpp,Transport of (r)-3-hydroxybutanoate [extraorganism-cytosol](passive),,4
BTDD_RR,R R  butanediol dehydrogenase,,4
BTS3r,Biotin synthase,,4
BUTtex,Butyrate transport via diffusion (extracellular to periplasm),,4
BZDH,Benzaldehyde dehydrogenase,,4
BZt,Benzoate transport (diffusion),,4
CBPS,Carbamoyl-phosphate synthase (glutamine-hydrolysing),,4
CBPS_1,Carbamoyl-phosphate synthase (glutamine-hydrolysing),,4
CD2t3pp,Cadmium (Cd+2) transport out via proton antiport (periplasm),,4
CD2t4pp,Cadmium (Cd+2) transport out via proton antiport (periplasm),,4
CD2t5,Cadmium  Cd2  transport out via proton antiport  cytosolexternal,,4
CD2t6,Cadmium  Cd2  transport out via proton antiport  periplasmexternal,,4
CELBpts,Cellobiose transport via PEPPyr PTS,,4
CELLBpts_2,,,4
CITt14,Citrate transport in via Ca complex,,4
CITt3pp,Citrate transport out via proton antiport (periplasm),,4
CITt4pp_1,Citrate transport via sodium symport  periplasm,,4
CITtupp,Citrate transport periplasm,,4
COBALT2t3pp,Cobalt (Co+2) transport out via proton antiport (periplasm),,4
COBALTt4pp,Cobalt transport out via proton antiporter (periplasm),,4
CRO4t3pp,Chromate transport out via proton antiport (cytoplasm to periplasm),,4
CTPS2,CTP synthase (glutamine),,4
CYS,L-cysteine,,4
CYSDS,Cysteine Desulfhydrase,,4
CYSK2_I,O-Phospho-L-Serine-dependent S-Suflocysteine Synthase,,4
CYSTGL,Cystathionine g lyase,,4
CYSTL,Cystathionine b-lyase,,4
CYSTS,Cystathionine beta synthase,,4
CYST_II,,,4
CYSabc,L-cysteine transport via ABC system,,4
CYSabc2pp,L-cysteine export via ABC system (cytoplasm to periplasm),,4
CYSabcpp,L-cysteine uptake via ABC system (periplasm),,4
CYStpp,L-cysteine export via facilitated transport,,4
CYTBD2pp,Cytochrome oxidase bd (menaquinol-8: 2 protons) (periplasm),,4
CYTB_B2,Menaquinol oxidase  71 protons,,4
CYTB_B3,Menauinol oxidase  72 protons,,4
D5KGPA,2-Deoxy-5-keto-D-gluconate 6-phosphate aldolase,,4
DABAAT2,DABA aminotransferase,,4
DALAGLYD,Beta alanine L glycine dipeptidase,,4
DALAOX,D amino acid oxidase,,4
DALAt2pp,D-alanine transport in via proton symport (periplasm),,4
DAPAT,Cadaverine aminotranferase,,4
DAPE,Diaminopimelate epimerase,,4
DHACOAH,"2,3-dehydroadipyl-CoA hydratase",,4
DHAD1,"Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate)",,4
DHAPT,Dihydroxyacetone phosphotransferase,,4
DHDPRy,Dihydrodipicolinate reductase (NADPH),,4
DHDPS,Dihydrodipicolinate synthase,,4
DHFS,Dihydrofolate synthase,,4
DHNAOT_1,1 4 dihydroxy 2 naphthoate octaprenyltransferase,,4
DHNCOAS,"1,4-dihydroxy-2-napthoyl-CoA synthase",,4
DNTAep,N N bis 3 5 dinitrotolyl  amine extrusion pump,,4
DRPA,Deoxyribose-phosphate aldolase,,4
DSERt2pp,D-serine transport in via proton symport (periplasm),,4
DXPS,1-deoxy-D-xylulose 5-phosphate synthase,,4
EDA,2-dehydro-3-deoxy-phosphogluconate aldolase,,4
FACOAE140,Fatty-acid-CoA thioesterase (tetradecanoate),,4
FACOAE160,Fatty-acid-CoA thioesterase (hexadecanoate),,4
FACOAE161,Fatty-acid-CoA thioesterase (hexadecenoate),,4
FACOAE180,Fatty-acid-CoA thioesterase (octadecanoate),,4
FACOAL100t2pp,Fatty-acid-CoA ligase (decanoate transport via vectoral Co-A coupling),,4
FACOAL120t2pp,Fatty-acid-CoA ligase (dodecanoate transport via vectoral Co-A coupling),,4
FACOAL140,Fatty acid  CoA ligase  tetradecanoate,,4
FACOAL140t2pp,Fatty-acid-CoA ligase (tetradecanoate transport via vectoral Co-A coupling),,4
FACOAL141t2pp,Fatty-acid-CoA ligase (tetradecenoate transport via vectoral Co-A coupling),,4
FACOAL160,Fatty acid  CoA ligase  hexadecanoate,,4
FACOAL160t2pp,Fatty-acid-CoA ligase (hexadecanoate transport via vectoral Co-A coupling),,4
FACOAL161,Fatty acid  CoA ligase  hexadecenoate,,4
FACOAL161t2pp,Fatty-acid-CoA ligase (hexadecenoate transport via vectoral Co-A coupling),,4
FACOAL180_2,Fatty acid  CoA ligase  octadecanoate,,4
FACOAL180t2pp,Fatty-acid-CoA ligase (octadecanoate transport via vectoral Co-A coupling),,4
FACOAL181,Fatty acid  CoA ligase  octadecenoate,,4
FACOAL181t2pp,Fatty-acid-CoA ligase (octadecenoate transport via vectoral Co-A coupling),,4
FACOAL60t2pp,Fatty-acid-CoA ligase (hexanoate transport via vectoral Co-A coupling),,4
FACOAL80t2pp,Fatty-acid-CoA ligase (octanoate transport via vectoral Co-A coupling),,4
FADH2D,FADH2 dehydrogenase (menaquinone 7 as acceptor),,4
FADMQOR,Menaquinone:FAD oxidoreductase,,4
FALDep,Formaldehyde extrusion pump,,4
FAS140,Fatty acid synthase  n C140,,4
FDMO,FMNH2-dependent monooxygenase,,4
FDMO3,FMNH2-dependent monooxygenase (ethanesulfonate),,4
FDMO3_1,FMN dependent monooxygenase  hexanesulfonate,,4
FDMO4,FMNH2-dependent monooxygenase (butanesulfonate),,4
FDMO4_1,FMN dependent monooxygenase  taurine,,4
FDMO6,FMNH2-dependent monooxygenase (sulfoacetate),,4
FE2t3pp,Iron (Fe+2) transport out via proton antiport (periplasm),,4
