growth_optimal_flux,PHB_optimal_flux,reaction_id,reaction_name,is_exchange,flux_shift
0.0,0.0,EX_balabala_e,R_EX_balabala_e,True,0.0
0.0,0.0,EX_balagly_e,R_EX_balagly_e,True,0.0
0.0,0.0,EX_balaleu_e,R_EX_balaleu_e,True,0.0
0.0,0.0,EX_balamd_e,R_EX_balamd_e,True,0.0
0.0,0.0,EX_bhb_e,R_EX_bhb_e,True,0.0
0.0,0.0,EX_btn_e,R_EX_btn_e,True,0.0
0.0,0.0,EX_but_e,R_EX_but_e,True,0.0
0.0,0.0,EX_butso3_e,R_EX_butso3_e,True,0.0
-4.2940554294404144e-05,-3.8646498864963535e-05,EX_bz_e,R_EX_bz_e,True,4.294055429440609e-06
-0.0022350558510237355,-0.002011550265921351,EX_ca2_e,R_EX_ca2_e,True,0.00022350558510238466
0.0,0.0,EX_carn_e,R_EX_carn_e,True,0.0
0.0,0.0,EX_cellb_e,R_EX_cellb_e,True,0.0
0.0,0.0,EX_cgly_e,R_EX_cgly_e,True,0.0
0.0,0.0,EX_chol_e,R_EX_chol_e,True,0.0
-0.0022350558510237355,-0.002011550265921351,EX_cit_e,R_EX_cit_e,True,0.00022350558510238466
-0.0022350558510237364,-0.0020115502659213513,EX_cl_e,R_EX_cl_e,True,0.0002235055851023851
0.0,0.0,EX_cmcbtt_e,R_EX_cmcbtt_e,True,0.0
20.0,20.0,EX_co2_e,R_EX_co2_e,True,0.0
0.0,0.0,EX_co_e,R_EX_co_e,True,0.0
-4.2940554294404144e-05,-3.864649886496352e-05,EX_cobalt2_e,R_EX_cobalt2_e,True,4.294055429440622e-06
0.0,0.0,EX_cpgn_e,R_EX_cpgn_e,True,0.0
0.0,0.0,EX_cpgn_un_e,R_EX_cpgn_un_e,True,0.0
-0.0003044485299473254,-0.0002740036769525913,EX_cu2_e,R_EX_cu2_e,True,3.0444852994734113e-05
0.0,0.0,EX_cys__L_e,R_EX_cys__L_e,True,0.0
-0.06893032478109218,-0.06203729230298262,EX_cytd_e,R_EX_cytd_e,True,0.006893032478109559
0.0,0.0,EX_d23hb_e,R_EX_d23hb_e,True,0.0
0.0,0.0,EX_dca_e,R_EX_dca_e,True,0.0
0.0,0.0,EX_dcyt_e,R_EX_dcyt_e,True,0.0
0.0,0.0,EX_ddca_e,R_EX_ddca_e,True,0.0
0.0,0.0,EX_drib_e,R_EX_drib_e,True,0.0
0.0,0.0,EX_enter_e,R_EX_enter_e,True,0.0
0.0,0.0,EX_ethso3_e,R_EX_ethso3_e,True,0.0
0.0,0.0,EX_etoh_e,R_EX_etoh_e,True,0.0
0.0,0.0,EX_fald_e,R_EX_fald_e,True,0.0
0.0,0.0,EX_fcmcbtt_e,R_EX_fcmcbtt_e,True,0.0
-0.0028834582208692385,-0.0025951123987823,EX_fe2_e,R_EX_fe2_e,True,0.00028834582208693864
-0.0033527984793070755,-0.0030175186313763512,EX_fe3_e,R_EX_fe3_e,True,0.0003352798479307243
0.0,0.0,EX_fe3dcit_e,R_EX_fe3dcit_e,True,0.0
0.0,0.0,EX_fe3dhbzs3_e,R_EX_fe3dhbzs3_e,True,0.0
0.0,0.0,EX_fe3mcbtt_e,R_EX_fe3mcbtt_e,True,0.0
0.0,0.0,EX_fe3pyovd_kt_e,R_EX_fe3pyovd_kt_e,True,0.0
0.0,0.0,EX_feenter_e,R_EX_feenter_e,True,0.0
0.0,0.0,EX_feoxam_e,R_EX_feoxam_e,True,0.0
0.0,0.0,EX_feoxam_un_e,R_EX_feoxam_un_e,True,0.0
-0.0002872723082295637,-0.00025854507740663167,EX_fol_e,R_EX_fol_e,True,2.872723082293204e-05
0.0,0.0,EX_for_e,R_EX_for_e,True,0.0
0.0,0.0,EX_fru_e,R_EX_fru_e,True,0.0
0.0,0.0,EX_fum_e,R_EX_fum_e,True,0.0
0.0,0.0,EX_gal_bD_e,R_EX_gal_bD_e,True,0.0
