reaction_id,reaction_name,distance_from_PHB,flux,abs_flux,capacity_bound,flux_to_capacity_ratio,bottleneck_score
VALt3pp,L-valine transport out via proton antiport (periplasm),4,1.2338419291424048,1.2338419291424048,1000.0,0.0012338419291424048,7.665300312628857e-05
VALTA,Valine transaminase,4,-1.2283492461041436,1.2283492461041436,1000.0,0.0012283492461041437,7.597205122961725e-05
Kt2r,Potassium reversible transport  via proton symport,5,1.0545147101200525,1.0545147101200525,1000.0,0.0010545147101200525,5.59906371914273e-05
Kt3r,Potassium transport out via proton antiport,5,0.9790794495905638,0.9790794495905638,1000.0,0.0009790794495905639,4.8266520864434505e-05
MALTt2,Maltose transport in via proton symport,5,0.8954063092369352,0.8954063092369352,1000.0,0.0008954063092369352,4.036922626193799e-05
PEPA,MNXR86162,5,0.8954063092369351,0.8954063092369351,1000.0,0.0008954063092369351,4.0369226261937984e-05
MAL6PG,Maltose 6  phosphate glucosidase,5,0.8954063092369349,0.8954063092369349,1000.0,0.0008954063092369348,4.0369226261937964e-05
HEX1,Hexokinase (D-glucose:ATP),5,0.8954063092369349,0.8954063092369349,1000.0,0.0008954063092369348,4.0369226261937964e-05
NADHPO,NADH peroxidase,5,0.8715053933990192,0.8715053933990192,1000.0,0.0008715053933990193,3.824285293945447e-05
THRt2r,L threonine reversible transport via proton symport,5,0.7255140575312572,0.7255140575312572,1000.0,0.0007255140575312572,2.6503412050888896e-05
THRD,L-threonine dehydrogenase,4,0.6274729139556966,0.6274729139556966,1000.0,0.0006274729139556966,1.9824401829367542e-05
GLYAT,Glycine C-acetyltransferase,3,-0.6274729139556966,0.6274729139556966,1000.0,0.0006274729139556966,1.9824401829367542e-05
PTA2,Phosphate acetyltransferase,4,0.6072652274952218,0.6072652274952218,1000.0,0.0006072652274952218,1.856807803907973e-05
PPAKr,Propionate kinase,5,0.6072652274952218,0.6072652274952218,1000.0,0.0006072652274952218,1.856807803907973e-05
ACS2,Acetyl-CoA synthase (propionate),4,0.6072652274952218,0.6072652274952218,1000.0,0.0006072652274952218,1.856807803907973e-05
Growth,Biomass reaction,4,0.3864649886496374,0.3864649886496374,1000.0,0.0003864649886496374,7.5202181057362295e-06
ASPTA,Aspartate transaminase,4,-0.300291798410521,0.300291798410521,1000.0,0.000300291798410521,4.540430861614486e-06
CYTK1,Cytidylate kinase (CMP),5,0.30002243231342973,0.30002243231342973,1000.0,0.00030002243231342973,4.532288850375389e-06
NDPK3,Nucleoside-diphosphate kinase (ATP:CDP),5,0.28980391154854346,0.28980391154854346,1000.0,0.00028980391154854345,4.2288142677182495e-06
G3PD1ir,Glycerol 3 phosphate dehydrogenase  NAD,5,0.24540526779251973,0.24540526779251973,1000.0,0.00024540526779251974,3.0323399456854903e-06
G3PCT,Glycerol-3-phosphate cytidylyltransferase,5,0.23767596801952703,0.23767596801952703,1000.0,0.00023767596801952702,2.8443344930420858e-06
PPM,Phosphopentomutase,6,0.22825163280630745,0.22825163280630745,1000.0,0.00022825163280630744,2.6232393061206757e-06
ASPTA6,E L-alanine-alpha-keto acid aminotransferase,4,-0.2023874634409425,0.2023874634409425,1000.0,0.0002023874634409425,2.0624210843169315e-06
NDPK2,Nucleoside-diphosphate kinase (ATP:UDP),5,0.19134036174038752,0.19134036174038752,1000.0,0.0001913403617403875,1.8434158043528156e-06
LEUt2r,L leucine reversible transport via proton symport,5,0.1782882796787259,0.1782882796787259,1000.0,0.0001782882796787259,1.60050013117373e-06
VALDHr,Valine dehydrogenase,4,-0.16902998056532983,0.16902998056532983,1000.0,0.00016902998056532984,1.4385918919512472e-06
GLYO1,Glycine oxidase,4,0.15251517220565827,0.15251517220565827,1000.0,0.00015251517220565827,1.1712139164171853e-06
OXFOtex,Oxalate:Formate antiporter (extracellular to periplasm),5,-0.15251517220565827,0.15251517220565827,1000.0,0.00015251517220565827,1.1712139164171853e-06
GLXO1,Glyoxylate oxidase,4,0.15251517220565827,0.15251517220565827,1000.0,0.00015251517220565827,1.1712139164171853e-06
LYSabc,L-lysine transport via ABC system,5,0.13261971196999825,0.13261971196999825,1000.0,0.00013261971196999826,8.855769128622416e-07
ILEt2r,L isoleucine reversible transport via proton symport,5,0.12016317245584314,0.12016317245584314,1000.0,0.00012016317245584314,7.27030945442348e-07
GLYCL,Glycine Cleavage System,4,0.11918348370931976,0.11918348370931976,1000.0,0.00011918348370931976,7.152243248027153e-07
GHMT2r,"Glycine hydroxymethyltransferase, reversible",4,-0.119011120324382,0.119011120324382,1000.0,0.00011901112032438201,7.131571030873145e-07
ARGt2r,L arganine reversible transport via proton symport,5,0.11431325192265354,0.11431325192265354,1000.0,0.00011431325192265354,6.579657453302335e-07
GLNS,Glutamine synthetase,4,0.10178830810550744,0.10178830810550744,1000.0,0.00010178830810550744,5.216820773880882e-07
MDH,Malate dehydrogenase,4,0.09801563688630975,0.09801563688630975,1000.0,9.801563688630975e-05,4.837275888889945e-07
PUNP3,Purine-nucleoside phosphorylase (Guanosine),5,0.09356819779692967,0.09356819779692967,1000.0,9.356819779692967e-05,4.408254449386404e-07
GK1,Guanylate kinase (GMP:ATP),5,0.09356819779692967,0.09356819779692967,1000.0,9.356819779692967e-05,4.408254449386404e-07
GUAPRT,Guanine phosphoribosyltransferase,5,0.09356819779692967,0.09356819779692967,1000.0,9.356819779692967e-05,4.408254449386404e-07
ASNt4,L-asparagine transport in via sodium symport,5,0.09315931783893834,0.09315931783893834,1000.0,9.315931783893834e-05,4.3698117152990863e-07
PROt2r,L proline reversible transport via proton symport,4,0.08543001806594559,0.08543001806594559,1000.0,8.543001806594559e-05,3.6747781175307334e-07
NDPK1,Nucleoside-diphosphate kinase (ATP:GDP),5,0.08312707319858241,0.08312707319858241,1000.0,8.312707319858241e-05,3.4793258584739206e-07
ADPT,Adenine phosphoribosyltransferase,5,0.07899228428501305,0.07899228428501305,1000.0,7.899228428501306e-05,3.141806767902143e-07
PUNP1,Purine-nucleoside phosphorylase (Adenosine),5,0.07899228428501305,0.07899228428501305,1000.0,7.899228428501306e-05,3.141806767902143e-07
3NTD7pp,3'-nucleotidase (AMP) (periplasm),5,0.07895363778614811,0.07895363778614811,1000.0,7.895363778614811e-05,3.1387332998836394e-07
ADNt2pp,Adenosine transport in via proton symport (periplasm),4,0.07895363778614811,0.07895363778614811,1000.0,7.895363778614811e-05,3.1387332998836394e-07
23PDE7pp,"2',3'-cyclic-nucleotide phosphodiesterase (AMP) (periplasm)",4,0.07895363778614811,0.07895363778614811,1000.0,7.895363778614811e-05,3.1387332998836394e-07
23CAMPtex,23cAMP transport via diffusion (extracellular to periplasm),5,0.07895363778614811,0.07895363778614811,1000.0,7.895363778614811e-05,3.1387332998836394e-07
GLUR,Glutamate racemase,4,-0.07536067278667931,0.07536067278667931,1000.0,7.536067278667931e-05,2.8595629347062024e-07
HCO3E,HCO3 equilibration reaction,4,0.0731191758525114,0.0731191758525114,1000.0,7.31191758525114e-05,2.6919854025252175e-07
ACCOAC,Acetyl-CoA carboxylase,3,0.0731191758525114,0.0731191758525114,1000.0,7.31191758525114e-05,2.6919854025252175e-07
PHEt2r,L phenylalanine reversible transport via proton symport,5,0.07159843612217509,0.07159843612217509,1000.0,7.159843612217509e-05,2.581173501614065e-07
ALATA_D,D-alanine transaminase,4,-0.07149602290018293,0.07149602290018293,1000.0,7.149602290018294e-05,2.573794646688225e-07
CYTDK1,ATP:cytidine 5'-phosphotransferase,5,0.06203729230298296,0.06203729230298296,1000.0,6.203729230298295e-05,1.93783052908726e-07
CYTDt2,Cytidine transport in via proton symport,6,0.06203729230298296,0.06203729230298296,1000.0,6.203729230298295e-05,1.93783052908726e-07
UMPK,UMP kinase,5,0.060715195576810044,0.060715195576810044,1000.0,6.071519557681004e-05,1.856115176694164e-07
