gene_id,growth,growth_fraction_of_wt,classification,status
MPDKNC_00262,0.4453701529337636,0.9999999999999986,non-essential,optimal
MPDKNC_03560,0.4453701529337636,0.9999999999999986,non-essential,optimal
MPDKNC_02190,0.4453701529337636,0.9999999999999986,non-essential,optimal
MPDKNC_03514,0.4453701529337636,0.9999999999999986,non-essential,optimal
MPDKNC_00294,0.44537015293376364,0.9999999999999987,non-essential,optimal
MPDKNC_03326,0.44537015293376364,0.9999999999999987,non-essential,optimal
MPDKNC_03502,0.44537015293376364,0.9999999999999987,non-essential,optimal
MPDKNC_01127,0.44537015293376364,0.9999999999999987,non-essential,optimal
MPDKNC_01109,0.44537015293376364,0.9999999999999987,non-essential,optimal
MPDKNC_00070,0.44537015293376364,0.9999999999999987,non-essential,optimal
MPDKNC_01968,0.44537015293376364,0.9999999999999987,non-essential,optimal
MPDKNC_03324,0.44537015293376364,0.9999999999999987,non-essential,optimal
MPDKNC_00212,0.44537015293376364,0.9999999999999987,non-essential,optimal
MPDKNC_02404,0.4453701529337637,0.9999999999999988,non-essential,optimal
MPDKNC_03757,0.4453701529337637,0.9999999999999988,non-essential,optimal
MPDKNC_01191,0.4453701529337637,0.9999999999999988,non-essential,optimal
MPDKNC_00525,0.4453701529337637,0.9999999999999988,non-essential,optimal
MPDKNC_00545,0.4453701529337637,0.9999999999999988,non-essential,optimal
MPDKNC_01549,0.4453701529337637,0.9999999999999988,non-essential,optimal
MPDKNC_02956,0.4453701529337637,0.9999999999999988,non-essential,optimal
MPDKNC_02995,0.4453701529337637,0.9999999999999988,non-essential,optimal
MPDKNC_03949,0.4453701529337637,0.9999999999999988,non-essential,optimal
MPDKNC_03614,0.4453701529337637,0.9999999999999988,non-essential,optimal
MPDKNC_00556,0.4453701529337637,0.9999999999999988,non-essential,optimal
MPDKNC_00411,0.4453701529337637,0.9999999999999988,non-essential,optimal
MPDKNC_02075,0.4453701529337637,0.9999999999999988,non-essential,optimal
MPDKNC_01524,0.4453701529337637,0.9999999999999988,non-essential,optimal
MPDKNC_04317,0.4453701529337637,0.9999999999999988,non-essential,optimal
MPDKNC_03139,0.4453701529337637,0.9999999999999988,non-essential,optimal
MPDKNC_04076,0.4453701529337637,0.9999999999999988,non-essential,optimal
MPDKNC_03451,0.4453701529337637,0.9999999999999988,non-essential,optimal
MPDKNC_00839,0.4453701529337637,0.9999999999999988,non-essential,optimal
MPDKNC_02805,0.4453701529337637,0.9999999999999988,non-essential,optimal
MPDKNC_03857,0.4453701529337637,0.9999999999999988,non-essential,optimal
MPDKNC_01210,0.4453701529337637,0.9999999999999988,non-essential,optimal
MPDKNC_01374,0.4453701529337637,0.9999999999999988,non-essential,optimal
MPDKNC_01491,0.4453701529337637,0.9999999999999988,non-essential,optimal
MPDKNC_02809,0.4453701529337637,0.9999999999999988,non-essential,optimal
MPDKNC_00426,0.4453701529337637,0.9999999999999988,non-essential,optimal
MPDKNC_04039,0.4453701529337637,0.9999999999999988,non-essential,optimal
MPDKNC_02510,0.4453701529337637,0.9999999999999988,non-essential,optimal
MPDKNC_02398,0.4453701529337637,0.9999999999999988,non-essential,optimal
MPDKNC_00377,0.4453701529337637,0.9999999999999988,non-essential,optimal
MPDKNC_04061,0.4453701529337637,0.9999999999999988,non-essential,optimal
MPDKNC_03774,0.4453701529337637,0.9999999999999988,non-essential,optimal
MPDKNC_01965,0.4453701529337637,0.9999999999999988,non-essential,optimal
MPDKNC_04394,0.4453701529337637,0.9999999999999988,non-essential,optimal
MPDKNC_00548,0.4453701529337637,0.9999999999999988,non-essential,optimal
MPDKNC_01418,0.4453701529337637,0.9999999999999988,non-essential,optimal
MPDKNC_03043,0.4453701529337637,0.9999999999999988,non-essential,optimal
MPDKNC_04447,0.4453701529337637,0.9999999999999988,non-essential,optimal
MPDKNC_03996,0.4453701529337637,0.9999999999999988,non-essential,optimal
MPDKNC_03887,0.4453701529337637,0.9999999999999988,non-essential,optimal
MPDKNC_02201,0.4453701529337637,0.9999999999999988,non-essential,optimal
MPDKNC_03891,0.4453701529337637,0.9999999999999988,non-essential,optimal
MPDKNC_03963,0.4453701529337637,0.9999999999999988,non-essential,optimal
MPDKNC_04228,0.4453701529337637,0.9999999999999988,non-essential,optimal
MPDKNC_01490,0.4453701529337637,0.9999999999999988,non-essential,optimal
MPDKNC_02971,0.4453701529337637,0.9999999999999988,non-essential,optimal
MPDKNC_00509,0.4453701529337637,0.9999999999999988,non-essential,optimal
MPDKNC_03012,0.4453701529337637,0.9999999999999988,non-essential,optimal
MPDKNC_02323,0.44537015293376375,0.9999999999999989,non-essential,optimal
MPDKNC_01984,0.44537015293376375,0.9999999999999989,non-essential,optimal
MPDKNC_02591,0.44537015293376375,0.9999999999999989,non-essential,optimal
MPDKNC_01595,0.44537015293376375,0.9999999999999989,non-essential,optimal
MPDKNC_04406,0.44537015293376375,0.9999999999999989,non-essential,optimal
MPDKNC_01010,0.44537015293376375,0.9999999999999989,non-essential,optimal
MPDKNC_01863,0.4453701529337638,0.999999999999999,non-essential,optimal
MPDKNC_00429,0.4453701529337638,0.999999999999999,non-essential,optimal
MPDKNC_01065,0.4453701529337638,0.999999999999999,non-essential,optimal
MPDKNC_02290,0.4453701529337638,0.999999999999999,non-essential,optimal
MPDKNC_03710,0.4453701529337638,0.999999999999999,non-essential,optimal
MPDKNC_00427,0.4453701529337638,0.999999999999999,non-essential,optimal
MPDKNC_01413,0.4453701529337638,0.999999999999999,non-essential,optimal
MPDKNC_02934,0.4453701529337638,0.999999999999999,non-essential,optimal
MPDKNC_02955,0.4453701529337638,0.999999999999999,non-essential,optimal
MPDKNC_00103,0.4453701529337638,0.999999999999999,non-essential,optimal
MPDKNC_00562,0.4453701529337638,0.999999999999999,non-essential,optimal
MPDKNC_01845,0.4453701529337638,0.999999999999999,non-essential,optimal
MPDKNC_02417,0.4453701529337638,0.999999999999999,non-essential,optimal
MPDKNC_00785,0.4453701529337638,0.999999999999999,non-essential,optimal
MPDKNC_02532,0.4453701529337638,0.999999999999999,non-essential,optimal
MPDKNC_03763,0.4453701529337638,0.999999999999999,non-essential,optimal
MPDKNC_02094,0.4453701529337638,0.999999999999999,non-essential,optimal
MPDKNC_00882,0.4453701529337638,0.999999999999999,non-essential,optimal
MPDKNC_02209,0.44537015293376386,0.9999999999999991,non-essential,optimal
MPDKNC_02296,0.44537015293376386,0.9999999999999991,non-essential,optimal
MPDKNC_00591,0.44537015293376386,0.9999999999999991,non-essential,optimal
MPDKNC_00771,0.44537015293376386,0.9999999999999991,non-essential,optimal
MPDKNC_00154,0.44537015293376386,0.9999999999999991,non-essential,optimal
MPDKNC_02429,0.44537015293376386,0.9999999999999991,non-essential,optimal
MPDKNC_00571,0.44537015293376386,0.9999999999999991,non-essential,optimal
MPDKNC_00016,0.44537015293376386,0.9999999999999991,non-essential,optimal
MPDKNC_01414,0.44537015293376386,0.9999999999999991,non-essential,optimal
MPDKNC_00027,0.44537015293376386,0.9999999999999991,non-essential,optimal
MPDKNC_01083,0.44537015293376386,0.9999999999999991,non-essential,optimal
MPDKNC_03755,0.44537015293376386,0.9999999999999991,non-essential,optimal
MPDKNC_00511,0.44537015293376386,0.9999999999999991,non-essential,optimal
MPDKNC_00257,0.44537015293376386,0.9999999999999991,non-essential,optimal
MPDKNC_02819,0.44537015293376386,0.9999999999999991,non-essential,optimal
MPDKNC_02616,0.44537015293376386,0.9999999999999991,non-essential,optimal
MPDKNC_03529,0.44537015293376386,0.9999999999999991,non-essential,optimal
MPDKNC_03751,0.44537015293376386,0.9999999999999991,non-essential,optimal
MPDKNC_02419,0.44537015293376386,0.9999999999999991,non-essential,optimal
MPDKNC_01657,0.44537015293376386,0.9999999999999991,non-essential,optimal
MPDKNC_01048,0.44537015293376386,0.9999999999999991,non-essential,optimal
MPDKNC_04301,0.44537015293376386,0.9999999999999991,non-essential,optimal
MPDKNC_01317,0.44537015293376386,0.9999999999999991,non-essential,optimal
MPDKNC_03608,0.44537015293376386,0.9999999999999991,non-essential,optimal
MPDKNC_01087,0.44537015293376386,0.9999999999999991,non-essential,optimal
MPDKNC_03830,0.44537015293376386,0.9999999999999991,non-essential,optimal
MPDKNC_02708,0.44537015293376386,0.9999999999999991,non-essential,optimal
MPDKNC_00280,0.44537015293376386,0.9999999999999991,non-essential,optimal
MPDKNC_00796,0.44537015293376386,0.9999999999999991,non-essential,optimal
MPDKNC_02407,0.44537015293376386,0.9999999999999991,non-essential,optimal
MPDKNC_03060,0.44537015293376386,0.9999999999999991,non-essential,optimal
MPDKNC_03255,0.44537015293376386,0.9999999999999991,non-essential,optimal
MPDKNC_02468,0.44537015293376386,0.9999999999999991,non-essential,optimal
MPDKNC_02685,0.4453701529337639,0.9999999999999992,non-essential,optimal
MPDKNC_03132,0.4453701529337639,0.9999999999999992,non-essential,optimal
MPDKNC_00508,0.4453701529337639,0.9999999999999992,non-essential,optimal
MPDKNC_02550,0.4453701529337639,0.9999999999999992,non-essential,optimal
MPDKNC_01717,0.4453701529337639,0.9999999999999992,non-essential,optimal
MPDKNC_03256,0.4453701529337639,0.9999999999999992,non-essential,optimal
MPDKNC_01073,0.4453701529337639,0.9999999999999992,non-essential,optimal
MPDKNC_00441,0.4453701529337639,0.9999999999999992,non-essential,optimal
MPDKNC_02984,0.4453701529337639,0.9999999999999992,non-essential,optimal
MPDKNC_02878,0.4453701529337639,0.9999999999999992,non-essential,optimal
MPDKNC_04120,0.4453701529337639,0.9999999999999992,non-essential,optimal
MPDKNC_02393,0.4453701529337639,0.9999999999999992,non-essential,optimal
MPDKNC_01171,0.4453701529337639,0.9999999999999992,non-essential,optimal
MPDKNC_04373,0.4453701529337639,0.9999999999999992,non-essential,optimal
MPDKNC_01807,0.4453701529337639,0.9999999999999992,non-essential,optimal
MPDKNC_00236,0.4453701529337639,0.9999999999999992,non-essential,optimal
MPDKNC_02767,0.4453701529337639,0.9999999999999992,non-essential,optimal
MPDKNC_01371,0.4453701529337639,0.9999999999999992,non-essential,optimal
MPDKNC_02822,0.4453701529337639,0.9999999999999992,non-essential,optimal
MPDKNC_00225,0.4453701529337639,0.9999999999999992,non-essential,optimal
MPDKNC_03734,0.4453701529337639,0.9999999999999992,non-essential,optimal
MPDKNC_01290,0.4453701529337639,0.9999999999999992,non-essential,optimal
MPDKNC_02579,0.4453701529337639,0.9999999999999992,non-essential,optimal
MPDKNC_00563,0.4453701529337639,0.9999999999999992,non-essential,optimal
MPDKNC_03517,0.4453701529337639,0.9999999999999992,non-essential,optimal
MPDKNC_04012,0.4453701529337639,0.9999999999999992,non-essential,optimal
MPDKNC_01972,0.4453701529337639,0.9999999999999992,non-essential,optimal
MPDKNC_03844,0.4453701529337639,0.9999999999999992,non-essential,optimal
MPDKNC_01344,0.4453701529337639,0.9999999999999992,non-essential,optimal
MPDKNC_01597,0.4453701529337639,0.9999999999999992,non-essential,optimal
MPDKNC_00787,0.4453701529337639,0.9999999999999992,non-essential,optimal
MPDKNC_02134,0.4453701529337639,0.9999999999999992,non-essential,optimal
MPDKNC_04332,0.4453701529337639,0.9999999999999992,non-essential,optimal
MPDKNC_00528,0.4453701529337639,0.9999999999999992,non-essential,optimal
MPDKNC_02456,0.4453701529337639,0.9999999999999992,non-essential,optimal
MPDKNC_02596,0.4453701529337639,0.9999999999999992,non-essential,optimal
MPDKNC_00248,0.4453701529337639,0.9999999999999992,non-essential,optimal
MPDKNC_01110,0.4453701529337639,0.9999999999999992,non-essential,optimal
MPDKNC_00367,0.4453701529337639,0.9999999999999992,non-essential,optimal
MPDKNC_03539,0.4453701529337639,0.9999999999999992,non-essential,optimal
MPDKNC_01797,0.4453701529337639,0.9999999999999992,non-essential,optimal
MPDKNC_04416,0.4453701529337639,0.9999999999999992,non-essential,optimal
MPDKNC_01996,0.4453701529337639,0.9999999999999992,non-essential,optimal
MPDKNC_03300,0.4453701529337639,0.9999999999999992,non-essential,optimal
MPDKNC_01942,0.4453701529337639,0.9999999999999992,non-essential,optimal
MPDKNC_03453,0.4453701529337639,0.9999999999999992,non-essential,optimal
MPDKNC_04401,0.4453701529337639,0.9999999999999992,non-essential,optimal
MPDKNC_02897,0.445370152933764,0.9999999999999993,non-essential,optimal
MPDKNC_04155,0.445370152933764,0.9999999999999993,non-essential,optimal
MPDKNC_00627,0.445370152933764,0.9999999999999993,non-essential,optimal
MPDKNC_03992,0.445370152933764,0.9999999999999993,non-essential,optimal
MPDKNC_03467,0.445370152933764,0.9999999999999993,non-essential,optimal
MPDKNC_03396,0.445370152933764,0.9999999999999993,non-essential,optimal
