reaction_id,loopless_flux,standard_flux,delta
AMPTASECG,0.0,0.0,0.0
AMPTASEGGLN,0.0,0.0,0.0
AMPTASEGGLU,0.0,0.0,0.0
AMPTASEGM,0.0,0.0,0.0
AMPTASEGS,0.0,0.0,0.0
AMPTASEHG,0.0,0.0,0.0
AMPTASEHH,0.0,0.0,0.0
AMPTASEPG,0.0,0.0,0.0
ANHMK,0.0,0.0,0.0
ANPRT,0.0,0.0,0.0
ANS,0.0,0.0,0.0
ANS2,0.0,0.0,0.0
ANSN,0.0,0.0,0.0
AP4AH,0.0,0.0,0.0
AP4AS,0.0,0.0,0.0
APATi,0.0,0.0,0.0
APG3PAT160,0.0,0.0,0.0
APG3PAT161,0.0,0.0,0.0
APG3PAT180,0.0,0.0,0.0
APG3PAT181,0.0,0.0,0.0
APRAUR,0.0,0.0,0.0
APRTO2,0.0,0.0,0.0
APSR,0.0,0.0,0.0
APTA1i,0.0,0.0,0.0
APTNAT,0.0,0.0,0.0
ARABRr,0.0,0.0,0.0
ARBTpts,0.0,0.0,0.0
ARBabc,0.0,0.0,0.0
ARBt2r,0.0,0.0,0.0
ARGDC,0.0,0.0,0.0
ARGDI_1,0.0,0.0,0.0
ARGDr,0.0,0.0,0.0
ARGN_1,0.0,0.0,0.0
ARGSL,0.0,0.0,0.0
ARGSS,0.0,0.0,0.0
ARGabc,0.0,0.0,0.0
ARGt2r,0.1317369282765835,0.13173692827658398,-4.718447854656915e-16
ASAD,-0.038704670455632174,-0.038704670455632306,1.3183898417423734e-16
ASNN,0.0,0.0,0.0
ASNS1,0.0,0.0,0.0
ASNabc,0.0,0.0,0.0
ASNt4,0.10735870221544815,0.10735870221544853,-3.885780586188048e-16
ASP1DC,0.0,0.0,0.0
ASPCT,0.0,0.0,0.0
ASPCT_2,0.0,0.0,0.0
ASPK,0.038704670455632174,0.038704670455632306,-1.3183898417423734e-16
ASPO1,4.67622663363553,4.676226633635525,4.440892098500626e-15
ASPO6,0.0,0.0,0.0
ASPTA,-4.822290006306611,-4.822290006306606,-5.329070518200751e-15
ASPTA6,0.0,0.0,0.0
ASPabc,0.0,0.0,0.0
ASPt2_2pp,0.0,0.0,0.0
ASPt2pp,0.0,0.0,0.0
ASPt2r,0.0,0.0,0.0
ASPtpp,0.0,0.0,0.0
ATAH_1,0.0,0.0,0.0
ATHRDHr,0.0,0.0,0.0
ATPHs,0.0,0.0,0.0
ATPPRT,0.0,0.0,0.0
ATPX5P,0.0,0.0,0.0
BALAALAabcpp,0.0,0.0,0.0
BALAALAtex,0.0,0.0,0.0
BALABALAabcpp,0.0,0.0,0.0
BALABALAtex,0.0,0.0,0.0
BALAGLYabcpp,0.0,0.0,0.0
BALAGLYtex,0.0,0.0,0.0
BALALEUabcpp,0.0,0.0,0.0
BALALEUtex,0.0,0.0,0.0
BALAMDAH,0.0,0.0,0.0
BALAt2pp,0.0,0.0,0.0
BALAt2r,0.0,0.0,0.0
BALAtex,0.0,0.0,0.0
BDH,0.0,0.0,0.0
BETALDHx,0.0,0.0,0.0
BETALDHy,0.0,0.0,0.0
BGLA,0.0,0.0,0.0
BGLA1,0.0,0.0,0.0
BGLK,0.0,0.0,0.0
BG_CELLB,0.0,0.0,0.0
BG_MADG,0.0,0.0,0.0
BG_MBDG,0.0,0.0,0.0
BHBtpp,0.0,0.0,0.0
BLAMDabcpp,0.0,0.0,0.0
BLAMDtex,0.0,0.0,0.0
BPNT_1,0.0,0.0,0.0
BSCT,-4.453701529337627e-05,-4.453701529337644e-05,1.6940658945086007e-19
BTDD_RR,0.0,0.0,0.0
BTNTe,0.0,0.0,0.0
BTNt,0.0,0.0,0.0
BTNt2i,0.0,0.0,0.0
BTS3r,0.0,0.0,0.0
BUTCT,8.824940955626476,8.824940955626476,0.0
BUTCT2,0.0,0.0,0.0
BUTKr,-8.824940955626477,-8.824940955626477,0.0
BUTSO3abcpp,0.0,0.0,0.0
BUTSO3tex,0.0,0.0,0.0
BUTt2rpp,0.0,0.0,0.0
BUTt4pp,0.0,0.0,0.0
BUTtex,0.0,0.0,0.0
BZDH,0.0,0.0,0.0
BZt,4.453701529337628e-05,4.4537015293376446e-05,-1.6940658945086007e-19
C4HP,0.0,0.0,0.0
CA2abc1,0.0,0.0,0.0
CA2tex,0.0,0.0,0.0
CARNabcpp,0.0,0.0,0.0
CARNtex,0.0,0.0,0.0
CAT,0.0,0.0,0.0
CAt4,0.0,0.0,0.0
CBPS,0.0,0.0,0.0
CBPS_1,0.0,0.0,0.0
CD2abc1,0.0,0.0,0.0
CD2abcpp,0.0,0.0,0.0
CD2t3pp,0.0,0.0,0.0
CD2t4,0.0,0.0,0.0
CD2t4pp,0.0,0.0,0.0
CD2t5,0.0,0.0,0.0
CD2t6,0.0,0.0,0.0
CD2tex,0.0,0.0,0.0
CD2tpp,0.0,0.0,0.0
CDGUNPD,0.0,0.0,0.0
CDPMEK,0.00035629612234701016,0.0003562961223470114,-1.2468324983583301e-18
CDPPH,0.0,0.0,0.0
CDPPT160,0.0,0.0,0.0
CELBpts,0.0,0.0,0.0
CELBt2,0.0,0.0,0.0
CELLBabc,0.0,0.0,0.0
CELLBpts_2,0.0,0.0,0.0
