minimum,maximum,reaction_id,flux_span,direction_class
0.0,10.0,ACGAtex,10.0,forward_only
0.0,10.0,ACGK,10.0,forward_only
0.0,9.316904761904787,ACGS,9.316904761904787,forward_only
0.0,7.694166666666648,ACHBS,7.694166666666648,forward_only
-10.0,10.000000000000002,ACKr,20.0,bidirectional
0.0,7.8117948717948735,ACLDC,7.8117948717948735,forward_only
0.0,12.39481481481478,ACLS,12.39481481481478,forward_only
0.0,16.444166666666657,ACLS_a,16.444166666666657,forward_only
0.0,16.44416666666666,ACLS_d,16.44416666666666,forward_only
0.0,2.07042328042328,ACM6PH,2.07042328042328,forward_only
0.0,10.0,ACMANApts,10.0,forward_only
0.0,7.694166666666639,ACOAD1,7.694166666666639,forward_only
0.0,7.694166666666641,ACOAD1fr,7.694166666666641,forward_only
-8.944166666666668,0.0016498102086974528,ACOAD2,8.945816476875365,bidirectional
0.0,5.560454545454682,ACOAD20,5.560454545454682,forward_only
-0.0016498861147656628,8.94416666666664,ACOAD3,8.945816552781405,bidirectional
-0.0016499758309445412,8.89504016064254,ACOAD4_1,8.896690136473486,bidirectional
0.0,8.139900941059917,ACOAD5,8.139900941059917,forward_only
-0.001650155292580515,7.382142920629256,ACOAD5_1,7.383793075921837,bidirectional
-0.001691314717736931,7.3798151357596655,ACOAD6,7.381506450477403,bidirectional
-6.444166666666631,3.222083333333319,ACOAD7,9.66624999999995,bidirectional
0.0,4.962984182098757,ACOADH2,4.962984182098757,forward_only
0.0,25.776666666666575,ACOAM,25.776666666666575,forward_only
0.0,9.316904761904741,ACODA,9.316904761904741,forward_only
0.0,9.33699699699697,ACONCt4pp,9.33699699699697,forward_only
0.0,9.336996996996975,ACONCtex,9.336996996996975,forward_only
0.0,9.336996996996966,ACONCtupp,9.336996996996966,forward_only
-10.0,26.965999999999987,ACONT,36.96599999999999,bidirectional
-10.0,26.965999999999983,ACONTa,36.96599999999998,bidirectional
-10.0,26.966000000000008,ACONTb,36.96600000000001,bidirectional
-10.0,2.8048854281323486e-30,ACOTA,10.0,backward_only
0.0,0.0,ACOXT,0.0,blocked
0.0,18.63380952380955,ACP1_FMN,18.63380952380955,forward_only
0.0,6.444166666666642,ACPPAT160,6.444166666666642,forward_only
0.0,2.5776666666666643,ACPPAT161,2.5776666666666643,forward_only
0.0,1.9828205128205127,ACPPAT180,1.9828205128205127,forward_only
0.0,1.2218891491022528,ACPPAT181,1.2218891491022528,forward_only
0.0,8.592222222222203,ACPS,8.592222222222203,forward_only
0.0,8.5922222222222,ACPS1,8.5922222222222,forward_only
0.0,8.592222222222201,ACPS1_1,8.592222222222201,forward_only
0.0,8.592222222222201,ACPpds,8.592222222222201,forward_only
0.0,25.776666666666593,ACS,25.776666666666593,forward_only
0.0,25.776666666666586,ACS2,25.776666666666586,forward_only
0.0,10.000000000000005,ACSERHS,10.000000000000005,forward_only
0.0,0.0,ACS_1,0.0,blocked
0.0,0.0,ACTD,0.0,blocked
0.0,16.44416666666667,ACTD2,16.44416666666667,forward_only
0.0,0.0,ACTD_1,0.0,blocked
0.0,0.0,ACTDa,0.0,blocked
0.0,16.102619047619065,ACTNabc,16.102619047619065,forward_only
0.0,9.316904761904741,ACTNabc1,9.316904761904741,forward_only
0.0,9.999999999999996,ACt2rpp,9.999999999999996,forward_only
0.0,10.0,ACt4pp,10.0,forward_only
0.0,10.0,ACtex,10.0,forward_only
0.0,18.633809523809518,ADADir,18.633809523809518,forward_only
0.0,0.0,ADAPAT,0.0,blocked
0.0,0.00021743033566200723,ADCL,0.00021743033566200723,forward_only
0.0,0.00021743033566200693,ADCS,0.00021743033566200693,forward_only
0.0,8.869999999999974,ADD,8.869999999999974,forward_only
-10.000000000000014,19.46714285714279,ADK1,29.467142857142804,bidirectional
0.0,0.0,ADK2,0.0,blocked
0.0,3.1559493670885987,ADMDC,3.1559493670885987,forward_only
0.0,12.888333333333298,ADNCYC,12.888333333333298,forward_only
0.0,19.467142857142758,ADNK1,19.467142857142758,forward_only
0.0,14.31690476190473,ADNUC,14.31690476190473,forward_only
0.0,6.489047619047617,ADNt2pp,6.489047619047617,forward_only
0.0,10.000000000000016,ADPDA,10.000000000000016,forward_only
0.0,12.888333333333339,ADPGLC,12.888333333333339,forward_only
0.0,13.944166666666653,ADPRDP,13.944166666666653,forward_only
0.0,0.0,ADPRDP_1,0.0,blocked
0.0,13.304999999999957,ADPT,13.304999999999957,forward_only
-7.959063756596259e-31,8.592222222222208,ADSK,8.592222222222208,forward_only
0.0,18.63380952380943,ADSL1r,18.63380952380943,forward_only
0.0,2.3300934579439354,ADSL2r,2.3300934579439354,forward_only
0.0,18.633809523809557,ADSS,18.633809523809557,forward_only
0.0,10.000000000000004,ADtr,10.000000000000004,forward_only
0.0,5.775793357933537,AEPPYRTA,5.775793357933537,forward_only
0.0,5.775793357933567,AEPabcpp,5.775793357933567,forward_only
0.0,5.775793357933567,AEPtex,5.775793357933567,forward_only
0.0,11.291111111110741,AGDC,11.291111111110741,forward_only
0.0,1.8633809523809572,AGM3PApp,1.8633809523809572,forward_only
0.0,2.07042328042328,AGM3PH,2.07042328042328,forward_only
0.0,1.863380952380952,AGM4PApp,1.863380952380952,forward_only
0.0,2.0704232804232805,AGM4PCP,2.0704232804232805,forward_only
0.0,2.0704232804232796,AGM4PH,2.0704232804232796,forward_only
0.0,2.0704232804232796,AGM4Pt2pp,2.0704232804232796,forward_only
0.0,1.8633809523809512,AGMH,1.8633809523809512,forward_only
1.391200213614749e-31,4.396666666666666,AGMPTRCtpp,4.396666666666666,forward_only
0.0,4.396666666666662,AGMT,4.396666666666662,forward_only
0.0,1.8633809523809473,AGMt2pp,1.8633809523809473,forward_only
0.0,4.3966666666666425,AGMtex,4.3966666666666425,forward_only
0.0,3.222083333333327,AGPAT160,3.222083333333327,forward_only
0.0,2.5776666666666532,AGPAT161,2.5776666666666532,forward_only
0.0,1.9828205128205127,AGPAT180,1.9828205128205127,forward_only
0.0,1.2218891491022719,AGPAT181,1.2218891491022719,forward_only
0.0,0.0065050566066796375,AGPATr_BS,0.0065050566066796375,forward_only
-10.0,0.0,AGPR,10.0,backward_only
-9.999999999999998,0.0,AH6PI,9.999999999999998,backward_only
0.0,9.999999999999998,AHCYSNS,9.999999999999998,forward_only
-10.0,8.592222222222198,AHCi,18.592222222222198,bidirectional
0.0,7.248022864568202e-05,AHMMPS_1,7.248022864568202e-05,forward_only
0.0,17.73299999999998,AHSERL2,17.73299999999998,forward_only
0.0,10.00000000000002,AHSERL4,10.00000000000002,forward_only
-10.0,0.0,AI2tex,10.0,backward_only
0.0,9.999999999999996,AI2tpp,9.999999999999996,forward_only
1.4994914478044774e-31,3.1559493670886027,AICART,3.1559493670886027,forward_only
0.0,10.992120383036923,AIRC1,10.992120383036923,forward_only
-10.0,2.330093458349946,AIRCr,12.330093458349946,bidirectional
0.0,10.03819672131146,AKGDH,10.03819672131146,forward_only
0.0,0.00021758234695658544,AKP1,0.00021758234695658544,forward_only
0.0,1.8633809523809397,ALAALAabcpp,1.8633809523809397,forward_only
2.732890890166282e-32,2.070423280423269,ALAALAr,2.070423280423269,forward_only
0.0,47.18444444444442,ALAD_L,47.18444444444442,forward_only
0.0,6.8707539682539585,ALAGLNtr,6.8707539682539585,forward_only
0.0,8.310666666666657,ALAGLUabcpp,8.310666666666657,forward_only
0.0,9.076796116504843,ALAGLYtr,9.076796116504843,forward_only
0.0,4.482898550724655,ALAHISabcpp,4.482898550724655,forward_only
0.0,4.482898550724626,ALAHIStex,4.482898550724626,forward_only
0.0,4.482898550724626,ALAHIStr,4.482898550724626,forward_only
0.0,8.207111111111095,ALALEUabcpp,8.207111111111095,forward_only
0.0,8.207111111111107,ALALEUt,8.207111111111107,forward_only
0.0,8.207111111111104,ALALEUtex,8.207111111111104,forward_only
-10.0,41.53234177215185,ALAR,51.53234177215185,bidirectional
-10.0,41.59282894736842,ALATA_D,51.59282894736842,bidirectional
0.0,51.5928289473684,ALATA_D2,51.5928289473684,forward_only
-10.0,41.532341772151895,ALATA_L,51.532341772151895,bidirectional
0.0,51.53234177215189,ALATA_L2,51.53234177215189,forward_only
0.0,10.000000000000002,ALATHRabcpp,10.000000000000002,forward_only
