reaction_id,mean_flux,std_flux,min_flux,max_flux
GLYPHEAP,0.006165117871933362,0.006533466652303149,5.4693036985693425e-06,0.030090930807113482
GLYPHEHYc,0.005713110210095378,0.007865873230890753,6.274198466390571e-06,0.03988712984783201
GLYPHEabcpp,0.005713110210095343,0.007865873230890746,6.274198466390544e-06,0.03988712984783196
GLYPHEtex,0.0057131102100953365,0.007865873230890745,6.274198466390544e-06,0.03988712984783195
GLYPHEtr,0.006165117871933403,0.006533466652303163,5.46930369856928e-06,0.0300909308071139
GLYSERabcpp,0.025708131235838934,0.023884985740909716,2.7649331053698617e-06,0.12772945271565256
GLYSERtex,0.025708131235838927,0.02388498574090972,2.7649331053698346e-06,0.12772945271565256
GLYTYRAP,0.015095387485372406,0.020608773037317184,8.90731486104039e-06,0.08078035241005603
GLYTYRabc,0.01509538748537348,0.020608773037317087,8.90731486496021e-06,0.080780352410057
GLYabc,0.04720912053604342,0.02671170775967781,0.004856582141936489,0.18561574168720807
GLYt2pp,0.0824993097575674,0.07716367571696692,0.00011413580228632542,0.3159732776096551
GLYt2r,0.0292668878731257,0.020559314254769298,3.847770683810605e-05,0.08279689572402187
GLYt4,0.21686627249890403,0.11542938618177837,6.137509645229231e-05,0.39583118597587164
GLYtex,0.08249930975756722,0.07716367571696701,0.00011413580228578145,0.31597327760965516
GMPR,0.022417379086088013,0.019160212374618853,1.217601524985248e-05,0.0687157982842941
GMPS2,0.12124092872534126,0.04321453763222446,0.043791177522677874,0.22161331626218259
GND,0.11165267649762094,0.08605625711705112,0.012891254671598185,0.32781585618518816
GNK_1,0.10073472759371692,0.0841108831561064,3.9572458420284954e-05,0.29090296111323666
GNKr,4.34899954088048e-18,1.7147863740520771e-18,1.3485255616277047e-18,7.2353190704588e-18
GNNUC,0.04051962054038744,0.03700673719079555,1.7310649258878968e-05,0.13636077121615794
GNP,0.02451668943210974,0.015817552616453876,1.298233063984303e-05,0.053290263427513494
GPDDA2,0.019590374707640506,0.010698501946902063,1.7736356621285373e-05,0.040527854084194674
GPDDA4,0.004947350020024107,0.00341455332735903,8.255199120827265e-06,0.016824486478929323
GRTT,0.016649834288584506,0.008307381615307254,5.2669948111534405e-05,0.03379377157265269
GSNt2pp,9.411100562574616,0.19576170985658775,8.857735533746771,9.724050708808699
GTHOr,-2.7764204882496446,0.7621660172742557,-5.785212049637579,-1.2836744961300557
GTHPe,2.2107374154863124,0.31137065751102483,1.8716083406310964,3.327955462948425
GTHPi,0.40946799122466876,0.2136700990802067,0.020809754426541947,0.9913814028985518
GTHRDH_syn,0.021245018604770145,0.017682771782686603,1.303561608304491e-05,0.0591228076255193
