knockouts,n_knockouts,max_growth,min_PHB_at_max_growth
23CCMPtex + 2S6HCCi,2,0.44537015293376364,0.0
23CCMPtex + 34HPPOR,2,0.44537015293376364,0.0
23CCMPtex + 3AMPt6,2,0.44537015293376364,0.0
23CCMPtex + 3CMPt6,2,0.4453701529337635,0.0
23CCMPtex + 3GMPtex_1,2,0.1715676286876665,0.0
23CCMPtex + 3MBt2pp,2,0.4453701529337645,0.0
23CCMPtex + 3MBt4pp,2,0.4453701529337645,0.0
23CCMPtex + 3MBtex,2,0.4453701529337645,0.0
23CCMPtex + 3NTD2pp,2,0.4453701529337645,0.0
23CCMPtex + 3NTD4pp,2,0.4453701529337645,0.0
23CCMPtex + VALt2r,2,0.4453701529337631,0.0
23CCMPtex + VALt2rpp,2,0.4453701529337631,0.0
23CGMPtex + VALt3pp,2,0.3446191415899198,0.0
23CGMPtex + VALtex,2,0.3446191415899196,0.0
23CGMPtex + VECOAH,2,0.3446191415899196,0.0
23CGMPtex + VNDH_2,2,0.3446191415899196,0.0
23CGMPtex + VPAMTr,2,0.3446191415899193,0.0
23CGMPtex + XANt2,2,0.3446191415899193,0.0
23CGMPtex + XPPT,2,0.3446191415899193,0.0
23CGMPtex + XTSNH,2,0.3446191415899193,0.0
23CGMPtex + XYLI1,2,0.3446191415899198,0.0
23CGMPtex + XYLI2,2,0.34461914158991974,0.0
23CGMPtex + XYLK,2,0.34461914158991974,0.0
23CGMPtex + XYLabc,2,0.34461914158991974,0.0
23CGMPtex + XYLabcpp,2,0.34461914158991974,0.0
23CGMPtex + XYLt2,2,0.34461914158991974,0.0
23CGMPtex + 23PDE2pp,2,0.34461914158991974,0.0
23CGMPtex + 23CUMPtex,2,0.34461914158991974,0.0
23CGMPtex + 2HXMPt6,2,0.3446191415899191,0.0
23CGMPtex + 2INSD,2,0.3446191415899191,0.0
23CGMPtex + 2MAHMP,2,0.3446191415899191,0.0
23CGMPtex + 2PGLYCt6,2,0.3446191415899191,0.0
23CGMPtex + 2S6HCCi,2,0.3446191415899191,0.0
23CGMPtex + 34HPPOR,2,0.3446191415899191,0.0
23CGMPtex + 3AMPt6,2,0.3446191415899191,0.0
23CGMPtex + 3CMPt6,2,0.3446191415899195,0.0
23CGMPtex + 3GMPtex_1,2,0.1708292277360711,0.0
23CGMPtex + 3MBt2pp,2,0.3446191415899196,0.0
23CGMPtex + 3MBt4pp,2,0.3446191415899196,0.0
23CGMPtex + 3MBtex,2,0.3446191415899196,0.0
23CGMPtex + 3NTD2pp,2,0.3446191415899196,0.0
23CGMPtex + 3NTD4pp,2,0.3446191415899196,0.0
