reaction_id,reaction_name,growth,growth_fraction_of_wt,classification,growth_coupled_PHB_after_knockout
BALALEUabcpp,Beta alanyl L leucine transport via ABC system  periplasm,0.44537015293376375,0.9999999999999989,non-essential,3.9379815139087384
EX_o2_e,R_EX_o2_e,0.3935378973861428,0.883619826775123,non-essential,2.819016337335183
SHKK,Shikimate kinase,0.4453701529337615,0.9999999999999938,non-essential,3.9379815139087033
THMDt2,Thymidine transport in via proton symport,0.44537015293376336,0.999999999999998,non-essential,3.9327374139679754
UREA_1,Urease,0.44537015293376336,0.999999999999998,non-essential,3.9379815139085004
BALAALAabcpp,Beta alanyl L alanine transport via ABC system  periplasm,0.44537015293376336,0.999999999999998,non-essential,3.9379815139088397
GALM,Aldose 1 epimerase,0.44537015293376336,0.999999999999998,non-essential,3.9379815139087726
ASAD,Aspartate-semialdehyde dehydrogenase,-5.129671805816623e-16,-1.151777183995424e-15,essential,
MMM2,Methylmalonyl-CoA mutase,0.44537015293375787,0.9999999999999857,non-essential,3.9379815139087198
UMPK,UMP kinase,0.0,0.0,essential,
AM4PA,Anhydrous-N-Acetylmuramyl-tetrapeptide amidase,0.4453701529337638,0.999999999999999,non-essential,3.937981513908937
FACOAE180,Fatty-acid-CoA thioesterase (octadecanoate),0.4453701529337647,1.0000000000000009,non-essential,3.9379815139087366
GLYCYSabc,Gly-Cys ABC transporters,0.4453701529337647,1.0000000000000009,non-essential,3.9379815139087544
EX_alatrp_e,R_EX_alatrp_e,0.4453701529337647,1.0000000000000009,non-essential,3.9379815139087198
VALabcpp,L-valine transport via ABC system (periplasm),0.4453701529337647,1.0000000000000009,non-essential,3.937981513908937
FACOAL150_anteiso,Fatty acid  CoA ligase  anteiso C150,-6.186541258622114e-17,-1.3890785491281407e-16,essential,
LYSabc,L-lysine transport via ABC system,0.4453701529337637,0.9999999999999988,non-essential,3.9379815139085212
FE3t,"Ferric iron uptake, plasma membrane",0.4453100775323254,0.9998651112988979,non-essential,3.9379371020494207
MMSAD1,Methylmalonate semialdehyde dehydrogenase,0.44537015293376403,0.9999999999999996,non-essential,3.9379815139091994
PROt2rpp,L-proline reversible transport via proton symport (periplasm),0.4453701529337636,0.9999999999999986,non-essential,3.9379815139086136
PPBNGS,Porphobilinogen synthase,0.4453701529337636,0.9999999999999986,non-essential,3.9379815139089747
FACOAL170_ISO,Fatty acid  CoA ligase  Iso C170,0.0,0.0,essential,
ALATHRtr,Dipeptide transport via ABC system ala-thr,0.44537015293376414,0.9999999999999998,non-essential,3.937981513908695
SO4tex,Sulfate transport via diffusion (extracellular to periplasm),0.4453701529337627,0.9999999999999966,non-essential,3.9379815139088397
AMID_1,Acetamidase,0.4453701529337627,0.9999999999999966,non-essential,3.9379815139087726
UDCPDP,Undecaprenyl-diphosphatase,-1.5488013496338676e-17,-3.4775598217157725e-17,essential,
AACPS6,Acyl-[acyl-carrier-protein] synthetase  (n-C18:0),0.445370152933764,0.9999999999999993,non-essential,3.9379815139087198
CYSTGL,Cystathionine g lyase,0.44537015293376375,0.9999999999999989,non-essential,3.937981513908937
RBK,Ribokinase,0.44537015293376375,0.9999999999999989,non-essential,3.9379815139087366
UAPGR,UDP-N-acetylenolpyruvoylglucosamine reductase,1.4736747643075624e-16,3.308876346113675e-16,essential,
PDE1,"3',5'-cyclic-nucleotide phosphodiesterase",0.4453701529337634,0.9999999999999981,non-essential,3.9379815139087544
VECOAH,3-hydroxyacyl-CoA dehydratase (3-hydroxypentanoyl-CoA),0.44537015293376353,0.9999999999999983,non-essential,3.9379815139087198
LPLIPAL1A161pp,"Lysophospholipase L1 (2-acylglycerophosphotidate, n-C16:1) (periplasm)",0.44537015293376353,0.9999999999999983,non-essential,3.937981513908937
MSO3tex,Methanesulfonate transport via diffusion (extracellular to periplasm),0.44537015293376353,0.9999999999999983,non-essential,3.9379815139087366
EX_4hpro_LT_e,R_EX_4hpro_LT_e,0.44537015293376353,0.9999999999999983,non-essential,3.9379815139087544
GTHOr,Glutathione oxidoreductase,0.44537015293376353,0.9999999999999983,non-essential,3.9379815139087198
LPLIPAL1E180pp,"Lysophospholipase L1 (2-acylglycerophosphoethanolamine, n-C18:0) (periplasm)",0.44537015293376353,0.9999999999999983,non-essential,3.937981513908937
PLIPA1G160pp,"Phospholipase A1 (phosphatidylglycerol, n-C16:0) (periplasm)",0.44537015293376353,0.9999999999999983,non-essential,3.9379815139087366
CPPPGO,Coproporphyrinogen oxidase (O2 required),0.44537015293376353,0.9999999999999983,non-essential,3.9379815139087544
NADPHQR2,NADPH Quinone Reductase (Ubiquinone-8),0.44537015293376353,0.9999999999999983,non-essential,3.9379815139087198
NI2t4pp,Nickel transport out via antiport (periplasm),0.44537015293376353,0.9999999999999983,non-essential,3.937981513908937
DRPA,Deoxyribose-phosphate aldolase,0.44515188524183646,0.9995099184566141,non-essential,3.9537373178674105
MTAM_1,,0.4453701529337644,1.0000000000000004,non-essential,3.9379815139086545
NI2abcpp,Nickle (Ni+2) ABC transporter (periplasm),0.44537015293376336,0.999999999999998,non-essential,3.9379815139084853
ENO,Enolase,0.2725898013494767,0.6120522436311902,non-essential,2.464495273513783
Kt3r,Potassium transport out via proton antiport,0.4453701529337643,1.0000000000000002,non-essential,3.937981513908711
EX_ser__L_e,R_EX_ser__L_e,0.4453701529337641,0.9999999999999997,non-essential,3.9379815139086713
BTS3r,Biotin synthase,0.4453701529337641,0.9999999999999997,non-essential,3.9379815139087584
GLYLEUAP,Gly-Leu aminopeptidase,0.4453701529337641,0.9999999999999997,non-essential,3.93798151390827
EX_pheme_e,R_EX_pheme_e,0.4453701529337641,0.9999999999999997,non-essential,3.9379815139086554
ALKP,Alkaline phosphatase,0.4453701529337641,0.9999999999999997,non-essential,3.9379815139087544
HIBHr,3 hydroxyisobutyryl CoA hydrolase,0.4453701529337641,0.9999999999999997,non-essential,3.7803107518962875
OXDHCOAT,"3-oxo-5,6-dehydrosuberyl-CoA thiolase",0.4453701529337641,0.9999999999999997,non-essential,3.937981513908714
GLCabcpp,D-glucose transport via ABC system (periplasm),0.4453701529337641,0.9999999999999997,non-essential,3.9379815139086713
UAAGDS,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelate synthetase",-2.6914478931466545e-20,-6.043170776975996e-20,essential,
BG_CELLB,Beta glucosidase  cellobiose,0.44537015293376336,0.999999999999998,non-essential,3.9379815139095347
CARNabcpp,Carnosine transport via ABC system  periplasm,0.44537015293376336,0.999999999999998,non-essential,3.93798151390858
G3PAT180,Glycerol-3-phosphate acyltransferase (C18:0),0.44537015293376336,0.999999999999998,non-essential,3.9379815139085204
MCTP1Bpp,Murein crosslinking transpeptidase 1B:(A2pm->A2pm) (periplasm),0.44537015293376336,0.999999999999998,non-essential,3.937981513908715
DINSK,Deoxyinosine kinase,0.44537015293376336,0.999999999999998,non-essential,3.937981513908524
TRPAS1,Tryptophanase  L cysteine,0.44537015293376336,0.999999999999998,non-essential,3.9379815139087886
ADPRDP_1,ADPribose diphosphatase,0.44537015293376336,0.999999999999998,non-essential,3.9379815139087158
EX_man_e,R_EX_man_e,0.44537015293376336,0.999999999999998,non-essential,3.9379815139088366
ALLTN,Allantoinase,0.44537015293376336,0.999999999999998,non-essential,3.937981513908704
GDPTPDP,Guanosine 3'-diphosphate 5'-triphosphate 3'-diphosphatase,0.44537015293376336,0.999999999999998,non-essential,3.9379815139087744
ALAHIStr,Dipeptide transport via ABC system ala-his,0.44537015293376336,0.999999999999998,non-essential,3.937981513908749
HACD1,3-hydroxyacyl-CoA dehydrogenase (acetoacetyl-CoA),0.44537015293376336,0.999999999999998,non-essential,3.9379815139087744
GCCa_1,Glycine-cleavage complex,0.44537015293376336,0.999999999999998,non-essential,3.9379815139086354
23CAMPtex,23cAMP transport via diffusion (extracellular to periplasm),0.44537015293376336,0.999999999999998,non-essential,3.937981513908677
CYTDtex,Cytidine transport via diffusion (extracellular to periplasm),0.44537015293376386,0.9999999999999991,non-essential,3.93798151390905
ATPX5P,ATP pyridoxal 5'-phosphotransferase,0.44537015293376386,0.9999999999999991,non-essential,3.9379815139083227
INS2D,Inositol 2-dehydrogenase,0.44537015293376386,0.9999999999999991,non-essential,3.93798151390871
PROtex,L-proline transport via diffusion (extracellular to periplasm),0.44537015293376386,0.9999999999999991,non-essential,3.9379815139087433
AGM3PApp,N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tripeptide amidase (periplasm),0.44537015293376386,0.9999999999999991,non-essential,3.937981513908952
EX_fe3dcit_e,R_EX_fe3dcit_e,0.44537015293376386,0.9999999999999991,non-essential,3.9379815139089906
DALAt2pp,D-alanine transport in via proton symport (periplasm),0.4453701529337646,1.0000000000000007,non-essential,3.9379815139088397
NDP3,Nucleoside diphosphatase  GDP,0.4453701529337646,1.0000000000000007,non-essential,3.9379815139089906
IPPMIb,2-isopropylmalate hydratase,0.4453701529337646,1.0000000000000007,non-essential,3.9379815139088397
C4HP,,0.4453701529337646,1.0000000000000007,non-essential,3.9379815139089906
23PDE7pp,"2',3'-cyclic-nucleotide phosphodiesterase (AMP) (periplasm)",0.4453701529337646,1.0000000000000007,non-essential,3.937981513908674
EX_thm_e,R_EX_thm_e,0.4453620020258512,0.9999816985762082,non-essential,3.9380201802753874
UPP3MT_2,Uroporphyrinogen methyltransferase,0.44537015293376375,0.9999999999999989,non-essential,3.937981513908714
MTHFR3,5 10 methylenetetrahydrofolatereductase  NADPH,0.4453701529337646,1.0000000000000007,non-essential,3.9379815139094276
TMDPP,Thymidine phosphorylase,0.4453701529337646,1.0000000000000007,non-essential,3.937981513908342
GLYGLUtex,L Histidinylglycine transport via diffusion  extracellular to periplasm,0.4453701529337646,1.0000000000000007,non-essential,3.937981513908684
THRabc,L-threonine transport via ABC system,0.4453701529337646,1.0000000000000007,non-essential,3.937981513908817
MLTGY1pp,Murein lytic transglycosylase (murein4p4p) (periplasm),0.4453701529337646,1.0000000000000007,non-essential,3.93798151390901
MDDCP5pp,"Murein D,D-carboxypeptidase (murein5p3p) (periplasm)",0.4453701529337646,1.0000000000000007,non-essential,3.937981513908342
NADTRHD,NAD transhydrogenase,0.4453701529337646,1.0000000000000007,non-essential,3.937981513908684
EX_ile__L_e,R_EX_ile__L_e,0.44299030174330634,0.9946564645727127,non-essential,4.022997439455344
EX_uri_e,R_EX_uri_e,0.4453701529337646,1.0000000000000007,non-essential,3.937981513908744
NNATr,Nicotinate-nucleotide adenylyltransferase,0.44537015293376353,0.9999999999999983,non-essential,3.9379815139087375
FDMO6,FMNH2-dependent monooxygenase (sulfoacetate),0.44537015293376353,0.9999999999999983,non-essential,3.937981513908886
CYST_II,,0.44537015293376353,0.9999999999999983,non-essential,3.937981513909192
MPTG,Murein polymerizing transglycosylase,0.44537015293376353,0.9999999999999983,non-essential,3.937981513908886
ALAtex,L-alanine transport via diffusion (extracellular to periplasm),0.3612566411662043,0.8111379686907997,non-essential,3.009773403798605
HPPK,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase,0.4453701529337637,0.9999999999999988,non-essential,3.9379815139087517
EX_metox__R_e,R_EX_metox__R_e,0.44537015293376414,0.9999999999999998,non-essential,3.9379815139087553
ALDD31_1,Aldehyde dehydrogenase  aminoacetaldehyde  NAD,0.44537015293376414,0.9999999999999998,non-essential,3.937981513908713
PLIPA1E160pp,"Phospholipase A1 (phosphatidylethanolamine, n-C16:0) (periplasm)",0.44537015293376414,0.9999999999999998,non-essential,3.937981513908712
SUCD4,Succinate dehyrdogenase,0.44537015293376414,0.9999999999999998,non-essential,3.937981513908668
SUCBZS,O-succinylbenzoate-CoA synthase,0.44537015293376414,0.9999999999999998,non-essential,3.937981513908765
DALAOX,D amino acid oxidase,0.44537015293376414,0.9999999999999998,non-essential,3.9379815139087175
CD2abc1,Cadmium transport out via ABC system,0.44537015293376414,0.9999999999999998,non-essential,3.937981513908764
