reaction_id,reaction_name,imbalance
ECOAH6,3-hydroxyacyl-CoA dehydratase (3-hydroxytetradecanoyl-CoA),{'H': -4.0}
ECOAH8,3-hydroxyacyl-CoA dehydratase (3-hydroxyoctadecanoyl-CoA),{'H': 4.0}
EDA,2-dehydro-3-deoxy-phosphogluconate aldolase,{'H': -2.0}
FA80ACPHi,Fatty-acyl-ACP hydrolase,{'H': -2.0}
FACOAL140_ISO,Fatty acid  CoA ligase  Iso C140,{'H': -3.0}
FACOAL141t2pp,Fatty-acid-CoA ligase (tetradecenoate transport via vectoral Co-A coupling),{'H': -4.0}
FACOAL150_ISO,Fatty acid  CoA ligase  Iso C150,{'H': -3.0}
FACOAL150_anteiso,Fatty acid  CoA ligase  anteiso C150,{'H': -3.0}
FACOAL160_ISO,Fatty acid  CoA ligase  Iso C160,{'H': -3.0}
FACOAL170_ISO,Fatty acid  CoA ligase  Iso C170,{'H': -3.0}
FACOAL170_anteiso,Fatty acid  CoA ligase  anteiso C170,{'H': -3.0}
FACOAL180_2,Fatty acid  CoA ligase  octadecanoate,{'H': -4.0}
FBA,Fructose-bisphosphate aldolase,{'H': 2.0}
FBA3,"Sedoheptulose 1,7-bisphosphate D-glyceraldehyde-3-phosphate-lyase",{'H': 4.0}
FBP,Fructose-bisphosphatase,{'H': 4.0}
FE3DCITexs,Dicitrate Fe(III) binding (spontaneous),{'H': -3.0}
FE3PYOVDL2,Ferripyoverdine complex formation  P putida KT2440 specific,{'H': 3.0}
FEENTERexs,Enterobactin Fe(III) binding (spontaneous),{'H': 2.0}
FEOXAMexs,Ferroxamine Fe3-loading reaction (spontaneous),{'H': 3.0}
FFSD,Beta-fructofuranosidase,{'H': 2.0}
FRDO,FRDO,{'H': 1.0}
FRUK,Fructose-1-phosphate kinase,{'H': -4.0}
G1PACT,Glucosamine-1-phosphate N-acetyltransferase,{'H': -2.0}
G3PAT160,Glycerol-3-phosphate acyltransferase (C16:0),{'H': -1.0}
G3PAT161,Glycerol-3-phosphate acyltransferase (C16:1),{'H': -4.0}
G3PAT180,Glycerol-3-phosphate acyltransferase (C18:0),{'H': -2.0}
G3PAT181,Glycerol-3-phosphate acyltransferase (C18:1),{'H': -1.0}
G3POA_BS,Glycerol 3 phosphate O acyltransferase,{'H': 1.48}
GALpts,Galactose transport via PTS,{'H': -2.0}
GAPD,Glyceraldehyde-3-phosphate dehydrogenase,{'H': 2.0}
GAPDi_nadp,Glyceraldehyde-3-phosphate dehydrogenase (NAD(P)+) (phosphorylating),{'H': -2.0}
GARFT,Phosphoribosylglycinamide formyltransferase,{'H': -2.0}
GCCa,Glycine-cleavage complex,{'H': 1.0}
GCCa_1,Glycine-cleavage complex,{'H': 1.0}
GCCb,Glycine cleavage complex,{'H': -1.0}
GCCb_1,Glycine cleavage complex,{'H': -1.0}
GDPTPDP,Guanosine 3'-diphosphate 5'-triphosphate 3'-diphosphatase,{'H': 7.0}
GLCADpts,,{'H': -2.0}
GLTPD,Galactitol-1-phosphate dehydrogenase,{'H': -2.0}
GLUKA_1,Glucokinase/hexokinase (glc-A),{'H': -2.0}
GLUTARH,Glutarate hydroxylase,{'H': -2.0}
GLUTRR,Glutamyl-tRNA reductase,{'H': 3.0}
GLUTRS,Glutamyl-tRNA synthetase,{'H': -3.0}
GLYCYSAP,Gly-Cys aminopeptidase,{'H': -1.0}
GLYCYSabc,Gly-Cys ABC transporters,{'H': 1.0}
GLYLEUAP,Gly-Leu aminopeptidase,{'H': -1.0}
GLYLEUtr,Gly-Leu ABC transporters,{'H': 1.0}
GLYPHEAP,Gly-Phe aminopeptidase,{'H': -1.0}
GLYPHEtr,Gly-Phe ABC transporters,{'H': 1.0}
GLYTYRAP,Gly-Try aminopeptidase,{'H': -1.0}
GLYTYRabc,Gly-Try ABC transporters,{'H': 1.0}
GPDDA4,Glycerophosphodiester phosphodiesterase (Glycerophosphoglycerol),{'H': 1.0}
GTPDPK,GTP diphosphokinase,{'H': -7.0}
GTPDPK_1,ATP:GTP 3'-diphosphotransferase,{'H': -7.0}
GUI2,Glucuronate isomerase (D-galacturonate),{'H': -1.0}
HACD1_1,3 hydroxyacyl CoA dehydrogenase  acetoacetyl CoA,{'H': -4.0}
HACD3,3-hydroxyacyl-CoA dehydrogenase (3-oxooctanoyl-CoA),{'H': -4.0}
HACD8,"3-hydroxyacyl-CoA dehydrogenase (3-oxooctadecanoyl-CoA), peroxisomal",{'H': -4.0}
HACD8i,3-hydroxyacyl-CoA dehydrogenase (3-oxooctadecanoyl-CoA),{'H': 4.0}
HACD9,3 hydroxyacyl CoA dehydrogenase  2 Methylacetoacetyl CoA,{'H': -4.0}
HACOADr,3 hydroxyacyl CoA dehydrogenase,{'H': -1.0}
HCYSMT2,Homocysteine Methyltransferase,{'H': -1.0}
HDECH,,{'H': -2.0}
HEMEOS_1,Heme O synthase,{'H': -2.0}
HEX4,Hexokinase (D-mannose:ATP),{'H': -2.0}
HIBHr,3 hydroxyisobutyryl CoA hydrolase,{'H': 3.0}
HKM1PP,2 hydroxy 3 keto 5 methylthiopentenyl 1 phosphate phophatase,{'H': 1.0}
ICHORT,Isochorismatase,{'H': -1.0}
ILEDHr,Isoleucine dehydrogenase,{'H': -1.0}
KARA2,Ketol-acid reductoisomerase (2-Acetolactate),{'H': 1.0}
KAS1,B-ketoacyl synthetase (Iso-C14:0),{'H': -1.0}
KAS11,B-ketoacyl synthetase (Iso-C17:0),{'H': -1.0}
KAS12,B-ketoacyl synthetase (Anteiso-C17:0),{'H': -1.0}
KAS3,B-ketoacyl synthetase (Iso-C15:0),{'H': -1.0}
KAS4,B-ketoacyl synthetase (Anteiso-C15:0),{'H': -1.0}
KAS6,B-ketoacyl synthetase (Iso-C16:0),{'H': -1.0}
LIPAMPL,Lipoyl-adenylate protein ligase,{'H': 2.0}
LIPATPT_2,Lipoate-ATP adenylate transferase,{'H': -1.0}
LIPO1S24_BS,Lipoteichoic acid synthesis  n24   linked  glucose substituted,{'H': -2400.0}
LIPO2S24_BS,Lipoteichoic acid synthesis  n24   linked  N acetylglucosamine substituted,{'H': -2400.0}
LIPO3S24_BS,Lipoteichoic acid synthesis  n24   unliked  D alanine substituted,{'H': -2400.0}
LIPO4S24_BS,Lipoteichoic acid synthesis  n24   linked  unsubstituted,{'H': -2400.0}
LPLIPAL1A161pp,"Lysophospholipase L1 (2-acylglycerophosphotidate, n-C16:1) (periplasm)",{'H': 2.0}
LPLIPAL2G181,"Lysophospholipase L2 (2-acylglycerophosphoglycerol, n-C18:1)",{'H': -1.0}
MACCOAT,2-Methylacetyl-CoA thiolase,{'H': 4.0}
MAN6PI,Mannose-6-phosphate isomerase,{'H': 2.0}
MANGLYCptspp,2-O-alpha-mannosyl-D-glycerate transport via PEP:Pyr PTS (periplasm),{'H': -3.0}
MANPGH,2-O-alpha-mannosyl-6-phosphate-D-glycerate hydrolase,{'H': 1.0}
MANpts,D-mannose transport via PEP:Pyr PTS,{'H': -2.0}
MCBTFUexs,Mycobactin Fe loading reaction  spontaneous,{'H': 3.0}
MCCC,Methylcrotonoyl-CoA carboxylase,{'H': -5.0}
MCTC_1,,{'H': -5.0}
MCTP1App,Murein crosslinking transpeptidase 1A:(A2pm->D-ala) (periplasm),{'H': -4.0}
MCTP2App,Murein crosslinking transpeptidase 1A:(A2pm->D-ala) (periplasm),{'H': -6.0}
MDDCP2pp,"Murein D,D-carboxypeptidase (murein5px4px4p) (periplasm)",{'H': 6.0}
MDDEP1pp,"Murein D,D-endopeptidase (murein4px4p) (periplasm)",{'H': 4.0}
MDDEP3pp,"Murein D,D-endopeptidase (murein5px4p) (periplasm)",{'H': 4.0}
MEPCT,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,{'H': 2.0}
MGCH,Methylglutaconyl-CoA hydratase,{'H': 5.0}
MHPGLUT,5 methyltetrahydropteroyltriglutamate homocysteine S methyltransferase,{'H': 4.0}
MHPGLUT2,5-methyltetrahydropteroyltriglutamate methyltransferase,{'H': 4.0}
MLDCP1App,"Murein L,D-carboxypeptidase (murein5px4p) (periplasm)",{'H': 4.0}
MLDCP3App,"Murein L,D-carboxypeptidase (murein5px3p) (periplasm)",{'H': -4.0}
MLDEP1pp,"Murein L,D-endopeptidase (murein3px3p) (periplasm)",{'H': 4.0}
MLTGY2pp,Murein lytic transglycosylase (murein4p3p) (periplasm),{'H': -2.0}
MLTGY3pp,Murein lytic transglycosylase (murein3p3p) (periplasm),{'H': -4.0}
MLTGY4pp,Murein lytic transglycosylase (murein4px4p4p) (periplasm),{'H': -4.0}
MMSDHir,Methylmalonate semialdehyde dehydrogenase  acylating,{'H': 1.0}
MN6PP,Mannose 6-phosphate phosphatase,{'H': 2.0}
MPTG,Murein polymerizing transglycosylase,{'H': 2.0}
MPTG2,Murein polymerizing transglycosylase 2 (three linked units),{'H': 1.0}
NMNN,NMN nucleosidase,{'H': -2.0}
NMO,Nitronate Monooxygenase,{'H': -4.0}
NOS3,N-omega-Hydroxyarginine NADPH oxygen oxidoreductase,{'H': -4.0}
NPHS,Naphthoate synthase,{'H': 5.0}
OXCOAHDH,"Oxepin-CoA hydrolase/ 3-oxo-5,6-dehydrosuberyl-CoA semialdehyde dehydrogenase (NADP+)",{'H': -1.0}
PAP,Phosphatidate phosphatase,{'H': 2.0}
PAPPT3,"Phospho-N-acetylmuramoyl-pentapeptide-transferase (meso-2,6-diaminopimelate)",{'H': -3.0}
PAP_BS,Phosphatidic acid phosphatase,{'H': 2.0}
PFK,Phosphofructokinase,{'H': -4.0}
PFK_2,Phosphofructokinase,{'H': -2.0}
PFK_4,Phosphofructokinase (s7p),{'H': -4.0}
PGI1c,"Glucose-6-phosphateisomerase,glycosome",{'H': 2.0}
PGPP181pp,"Phosphatidylglycerol phosphate phosphatase (periplasm, n-C18:1)",{'H': 3.0}
PGSA181,Phosphatidylglycerol synthase (n-C18:1),{'H': -3.0}
PHACOAOR,Phenylacetyl-CoA oxygenase/reductase,{'H': -4.0}
PHHL2,,{'H': 2.0}
PLCD,PLCD,{'H': 1.0}
PLIPA1G160pp,"Phospholipase A1 (phosphatidylglycerol, n-C16:0) (periplasm)",{'H': 1.0}
PLIPA1G161pp,"Phospholipase A1 (phosphatidylglycerol, n-C16:1) (periplasm)",{'H': -1.0}
PLPS_1,Pyridoxal-5-phosphate synthase,{'H': 2.0}
PPM,Phosphopentomutase,{'H': -2.0}
PPM2,Phosphopentomutase 2 (deoxyribose),{'H': 2.0}
PPND,Prephenate dehydrogenase,{'H': 2.0}
PPNDH,Prephenate dehydratase,{'H': 2.0}
PPTGS_BS,Peptidoglycan subunit synthesis,{'H': -1.0}
PRAMPC_1,Phosphoribosyl AMP cyclohydrolase,{'H': 4.0}
PRASCSi,Phosphoribosylaminoimidazolesuccinocarboxamide synthase,{'H': 3.0}
PRATPP,Phosphoribosyl-ATP pyrophosphatase,{'H': 2.0}
PRPPS,Phosphoribosylpyrophosphate synthetase,{'H': 2.0}
PSD161,Phosphatidylserine decarboxylase (n-C16:1),{'H': 1.0}
PSD180,Phosphatidylserine decarboxylase (n-C18:0),{'H': 1.0}
PSSA161,Phosphatidylserine syntase (n-C16:1),{'H': -1.0}
PSSA180,Phosphatidylserine syntase (n-C18:0),{'H': -1.0}
PSUDS,Pseudouridylate synthase,{'H': 2.0}
PTHPS,6-pyruvoyltetrahydropterin synthase,{'H': -4.0}
PTHPS_1,6-pyruvoyltetrahydropterin synthase,{'H': -4.0}
PUNP2,Purine-nucleoside phosphorylase (Deoxyadenosine),{'H': -2.0}
PUNP4,Purine-nucleoside phosphorylase (Deoxyguanosine),{'H': -2.0}
PUNP6,Purine-nucleoside phosphorylase (Deoxyinosine),{'H': -2.0}
R5PP,Ribose 5-phosphate phosphatase,{'H': 2.0}
RBFK,Riboflavin kinase,{'H': -2.0}
RBFSa,Riboflavin synthase,{'H': 2.0}
RBFSa_1,Riboflavin synthase,{'H': 2.0}
RBK,Ribokinase,{'H': -2.0}
RECOAH2,3 hydroxyacyl Coa dehydratase   3R  3 hydroxyhexanoyl CoA,{'H': 4.0}
REPHACCOAI,"Ring 1,2-epoxyphenylacetyl-CoA isomerase (oxepin-CoA forming)",{'H': -4.0}
RHACOAR80,3R  3 Hydroxyacyl CoANADP oxidoreductase,{'H': -4.0}
RPI,Ribose-5-phosphate isomerase,{'H': 2.0}
RU5PS,Ribulose-5-P Synthetase,{'H': -2.0}
SALCHS2FEexs,Salmochelin s2 Fe III sequestration,{'H': 3.0}
