reaction_id,reaction_name,imbalance,distance_from_PHB
BTS3r,Biotin synthase,{'H': 1.0},2
DXPRIi,1-deoxy-D-xylulose reductoisomerase,{'H': -2.0},2
DURIPP_1,Deoxyuridine phosphorylase,{'H': -2.0},2
DURIPP,Deoxyuridine phosphorylase,{'H': -2.0},2
AGPAT181,1-octadec-7-enoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C18:1),{'H': -3.0},2
ARGSS,Argininosuccinate synthase,{'H': -1.0},2
ARGSL,Argininosuccinate lyase,{'H': 1.0},2
APTA1i,Acetyl L L diaminopimelate aminotransferase,{'H': -1.0},2
APG3PAT181,Acyl-phosphate:glycerol-3-phosphate acyltransferase (C18:1),{'H': 1.0},2
APG3PAT180,Acyl-phosphate:glycerol-3-phosphate acyltransferase (C18:0),{'H': 1.0},2
APG3PAT161,Acyl-phosphate:glycerol-3-phosphate acyltransferase (C16:1),{'H': -1.0},2
APG3PAT160,Acyl-phosphate:glycerol-3-phosphate acyltransferase (C16:0),{'H': 1.0},2
ANHMK,"1,6-anhydrous-N-Acetylmuramate kinase",{'H': -3.0},2
TKT2,Transketolase,{'H': -2.0},2
TNTR2x,TNT nitroreductase 2 Hydroxylamino 4 6 dinitrotoluene,{'H': -1.0},2
AMPEP15,Aminopeptidase,{'H': 1.0},2
TNTR2,TNT nitroreductase 2 Hydroxylamino 4 6 dinitrotoluene,{'H': -1.0},2
TNTR1x,TNT nitroreductase 4 Hydroxylamino 2 6 dinitrotoluene,{'H': -1.0},2
TNTR1,TNT nitroreductase 4 Hydroxylamino 2 6 dinitrotoluene,{'H': -1.0},2
TNTHAC2,2 4 6 dinitrotoluene meisenheimer dihydrideTNT derived hydroxylamines condensation,{'H': 1.0},2
TNTHAC1,2 4 6 dinitrotoluene meisenheimer dihydrideTNT derived hydroxylamines condensation,{'H': 1.0},2
TMDPP,Thymidine phosphorylase,{'H': -2.0},2
2AACLPGT180,2 acyl acyl carrier protein glycerophospho glycerol acyltransferase  n C160,{'H': -2.0},2
TGBPA,Tagatose-bisphosphate aldolase,{'H': 2.0},2
TECA3S45,Glycerol teichoic acid  n45   unlinked  glucose substituted,{'H': -45.0},2
TECA2S45,Glycerol teichoic acid  n45   unlinked  D ala substituted,{'H': -45.0},2
TECA1S45,Glycerol teichoic acid  n45   unlinked  unsubstituted,{'H': -45.0},2
TALA,Transaldolase,{'H': 2.0},2
TAGURr,Tagaturonate reductase,{'H': -1.0},2
SUCpts,Sucrose transport via PEP:Pyr PTS,{'H': -2.0},2
SUCD2,Succinate dehydrogenase dehydrogenase (menaquinone 8 as acceptor),{'H': 2.0},2
AACPS3,Acyl-[acyl-carrier-protein] synthetase  (n-C16:0),{'H': 1.0},2
