carbon_source,flux_minimum,carbon_yield_minimum,mass_yield_minimum,flux_maximum,carbon_yield_maximum,mass_yield_maximum,EX_glc__D_e,EX_o2_e
"EX_23camp_e, EX_23cgmp_e, EX_3mb_e, EX_4abut_e, EX_arg__L_e, EX_asn__L_e, EX_bz_e, EX_cit_e, EX_cytd_e, EX_dcyt_e, EX_fe3pyovd_kt_e, EX_fol_e, EX_gam_e, EX_glu__L_e, EX_glyc_e, EX_gthrd_e, EX_his__L_e, EX_ile__L_e, EX_istfrnA_e, EX_lys__L_e, EX_malt_e, EX_mmet_e, EX_nmn_e, EX_phe__L_e, EX_pnto__R_e, EX_pro__L_e, EX_ribflv_e, EX_ser__L_e, EX_thm_e, EX_thr__L_e, EX_trp__L_e, EX_tyr__L_e, EX_val__L_e",0.0,0.0,,0.14287498914532265,0.11120493101972695,,-18.94736842105263,-20.0
"EX_23camp_e, EX_23cgmp_e, EX_3mb_e, EX_4abut_e, EX_arg__L_e, EX_asn__L_e, EX_bz_e, EX_cit_e, EX_cytd_e, EX_dcyt_e, EX_fe3pyovd_kt_e, EX_fol_e, EX_gam_e, EX_glu__L_e, EX_glyc_e, EX_gthrd_e, EX_his__L_e, EX_ile__L_e, EX_istfrnA_e, EX_lys__L_e, EX_malt_e, EX_mmet_e, EX_nmn_e, EX_phe__L_e, EX_pnto__R_e, EX_pro__L_e, EX_ribflv_e, EX_ser__L_e, EX_thm_e, EX_thr__L_e, EX_trp__L_e, EX_tyr__L_e, EX_val__L_e",0.0,0.0,,0.14287498914531338,0.1112049310197199,,-18.94736842105263,-18.94736842105263
"EX_23camp_e, EX_23cgmp_e, EX_3mb_e, EX_4abut_e, EX_arg__L_e, EX_asn__L_e, EX_bz_e, EX_cit_e, EX_cytd_e, EX_dcyt_e, EX_fe3pyovd_kt_e, EX_fol_e, EX_gam_e, EX_glu__L_e, EX_glyc_e, EX_gthrd_e, EX_his__L_e, EX_ile__L_e, EX_istfrnA_e, EX_lys__L_e, EX_malt_e, EX_mmet_e, EX_nmn_e, EX_phe__L_e, EX_pnto__R_e, EX_pro__L_e, EX_ribflv_e, EX_ser__L_e, EX_thm_e, EX_thr__L_e, EX_trp__L_e, EX_tyr__L_e, EX_val__L_e",0.0,0.0,,0.14287498914531338,0.11144740950257725,,-18.94736842105263,-17.894736842105264
"EX_23camp_e, EX_23cgmp_e, EX_3mb_e, EX_4abut_e, EX_arg__L_e, EX_asn__L_e, EX_bz_e, EX_cit_e, EX_cytd_e, EX_dcyt_e, EX_fe3pyovd_kt_e, EX_fol_e, EX_gam_e, EX_glu__L_e, EX_glyc_e, EX_gthrd_e, EX_his__L_e, EX_ile__L_e, EX_istfrnA_e, EX_lys__L_e, EX_malt_e, EX_mmet_e, EX_nmn_e, EX_phe__L_e, EX_pnto__R_e, EX_pro__L_e, EX_ribflv_e, EX_ser__L_e, EX_thm_e, EX_thr__L_e, EX_trp__L_e, EX_tyr__L_e, EX_val__L_e",0.0,0.0,,0.14287498914531396,0.11150506012194768,,-18.94736842105263,-16.842105263157894
"EX_23camp_e, EX_23cgmp_e, EX_3mb_e, EX_4abut_e, EX_arg__L_e, EX_asn__L_e, EX_bz_e, EX_cit_e, EX_cytd_e, EX_dcyt_e, EX_fe3pyovd_kt_e, EX_fol_e, EX_gam_e, EX_glu__L_e, EX_glyc_e, EX_gthrd_e, EX_his__L_e, EX_ile__L_e, EX_istfrnA_e, EX_lys__L_e, EX_malt_e, EX_mmet_e, EX_nmn_e, EX_phe__L_e, EX_pnto__R_e, EX_pro__L_e, EX_ribflv_e, EX_ser__L_e, EX_thm_e, EX_thr__L_e, EX_trp__L_e, EX_tyr__L_e, EX_val__L_e",0.0,0.0,,0.14287498914531385,0.11125403811816566,,-18.94736842105263,-15.789473684210527
"EX_23camp_e, EX_23cgmp_e, EX_3mb_e, EX_4abut_e, EX_arg__L_e, EX_asn__L_e, EX_bz_e, EX_cit_e, EX_cytd_e, EX_dcyt_e, EX_fe3pyovd_kt_e, EX_fol_e, EX_gam_e, EX_glu__L_e, EX_glyc_e, EX_gthrd_e, EX_his__L_e, EX_ile__L_e, EX_istfrnA_e, EX_lys__L_e, EX_malt_e, EX_mmet_e, EX_nmn_e, EX_phe__L_e, EX_pnto__R_e, EX_pro__L_e, EX_ribflv_e, EX_ser__L_e, EX_thm_e, EX_thr__L_e, EX_trp__L_e, EX_tyr__L_e, EX_val__L_e",0.0,0.0,,0.1428749891453136,0.11231526306648221,,-18.94736842105263,-14.736842105263158
"EX_23camp_e, EX_23cgmp_e, EX_3mb_e, EX_4abut_e, EX_arg__L_e, EX_asn__L_e, EX_bz_e, EX_cit_e, EX_cytd_e, EX_dcyt_e, EX_fe3pyovd_kt_e, EX_fol_e, EX_gam_e, EX_glu__L_e, EX_glyc_e, EX_gthrd_e, EX_his__L_e, EX_ile__L_e, EX_istfrnA_e, EX_lys__L_e, EX_malt_e, EX_mmet_e, EX_nmn_e, EX_phe__L_e, EX_pnto__R_e, EX_pro__L_e, EX_ribflv_e, EX_ser__L_e, EX_thm_e, EX_thr__L_e, EX_trp__L_e, EX_tyr__L_e, EX_val__L_e",0.0,0.0,,0.14287498914531357,0.11422685549631253,,-18.94736842105263,-13.68421052631579
"EX_23camp_e, EX_23cgmp_e, EX_3mb_e, EX_4abut_e, EX_arg__L_e, EX_asn__L_e, EX_bz_e, EX_cit_e, EX_cytd_e, EX_dcyt_e, EX_fe3pyovd_kt_e, EX_fol_e, EX_gam_e, EX_glu__L_e, EX_glyc_e, EX_gthrd_e, EX_his__L_e, EX_ile__L_e, EX_istfrnA_e, EX_lys__L_e, EX_malt_e, EX_mmet_e, EX_nmn_e, EX_phe__L_e, EX_pnto__R_e, EX_pro__L_e, EX_ribflv_e, EX_ser__L_e, EX_thm_e, EX_thr__L_e, EX_trp__L_e, EX_tyr__L_e, EX_val__L_e",0.0,0.0,,0.14287498914531396,0.11637183222047953,,-18.94736842105263,-12.631578947368421
"EX_23camp_e, EX_23cgmp_e, EX_3mb_e, EX_4abut_e, EX_arg__L_e, EX_asn__L_e, EX_bz_e, EX_cit_e, EX_cytd_e, EX_dcyt_e, EX_fe3pyovd_kt_e, EX_fol_e, EX_gam_e, EX_glu__L_e, EX_glyc_e, EX_gthrd_e, EX_his__L_e, EX_ile__L_e, EX_istfrnA_e, EX_lys__L_e, EX_malt_e, EX_mmet_e, EX_nmn_e, EX_phe__L_e, EX_pnto__R_e, EX_pro__L_e, EX_ribflv_e, EX_ser__L_e, EX_thm_e, EX_thr__L_e, EX_trp__L_e, EX_tyr__L_e, EX_val__L_e",0.0,0.0,,0.14287498914531396,0.11866107719044972,,-18.94736842105263,-11.578947368421053
"EX_23camp_e, EX_23cgmp_e, EX_3mb_e, EX_4abut_e, EX_arg__L_e, EX_asn__L_e, EX_bz_e, EX_cit_e, EX_cytd_e, EX_dcyt_e, EX_fe3pyovd_kt_e, EX_fol_e, EX_gam_e, EX_glu__L_e, EX_glyc_e, EX_gthrd_e, EX_his__L_e, EX_ile__L_e, EX_istfrnA_e, EX_lys__L_e, EX_malt_e, EX_mmet_e, EX_nmn_e, EX_phe__L_e, EX_pnto__R_e, EX_pro__L_e, EX_ribflv_e, EX_ser__L_e, EX_thm_e, EX_thr__L_e, EX_trp__L_e, EX_tyr__L_e, EX_val__L_e",0.0,0.0,,0.14287498914531335,0.12160259117634753,,-18.94736842105263,-10.526315789473685
"EX_23camp_e, EX_23cgmp_e, EX_3mb_e, EX_4abut_e, EX_arg__L_e, EX_asn__L_e, EX_bz_e, EX_cit_e, EX_cytd_e, EX_dcyt_e, EX_fe3pyovd_kt_e, EX_fol_e, EX_gam_e, EX_glu__L_e, EX_glyc_e, EX_gthrd_e, EX_his__L_e, EX_ile__L_e, EX_istfrnA_e, EX_lys__L_e, EX_malt_e, EX_mmet_e, EX_nmn_e, EX_phe__L_e, EX_pnto__R_e, EX_pro__L_e, EX_ribflv_e, EX_ser__L_e, EX_thm_e, EX_thr__L_e, EX_trp__L_e, EX_tyr__L_e, EX_val__L_e",0.0,0.0,,0.1428749891453137,0.12379436364606651,,-18.94736842105263,-9.473684210526317
