reaction_id,reaction_name,reduced_cost,lower_bound,upper_bound
EX_gly_asn__L_e,R_EX_gly_asn__L_e,0.0,-10.0,1000.0
EX_gly_asp__L_e,R_EX_gly_asp__L_e,0.0,-10.0,1000.0
EX_gly_cys_e,R_EX_gly_cys_e,0.0,-10.0,1000.0
EX_gly_e,R_EX_gly_e,0.0,-10.0,1000.0
EX_gly_gln_e,R_EX_gly_gln_e,0.0,-10.0,1000.0
EX_gly_glu__L_e,R_EX_gly_glu__L_e,0.0,-10.0,1000.0
EX_gly_leu_e,R_EX_gly_leu_e,0.0,-10.0,1000.0
EX_gly_met_e,R_EX_gly_met_e,0.0,-10.0,1000.0
EX_gly_phe_e,R_EX_gly_phe_e,0.0,-10.0,1000.0
EX_gly_pro__L_e,R_EX_gly_pro__L_e,0.0,-10.0,1000.0
EX_gly_tyr_e,R_EX_gly_tyr_e,0.0,-10.0,1000.0
EX_glyald_e,R_EX_glyald_e,0.0,-10.0,1000.0
EX_glyb_e,R_EX_glyb_e,0.0,-10.0,1000.0
EX_glyc_e,R_EX_glyc_e,0.0,-10.0,1000.0
EX_glygln_e,R_EX_glygln_e,0.0,-10.0,1000.0
EX_glyglu_e,R_EX_glyglu_e,0.0,-10.0,1000.0
EX_glygly_e,R_EX_glygly_e,0.0,-10.0,1000.0
EX_glyglygln_e,R_EX_glyglygln_e,0.0,-10.0,1000.0
EX_glymet_e,R_EX_glymet_e,0.0,-10.0,1000.0
EX_glyphe_e,R_EX_glyphe_e,0.0,-10.0,1000.0
EX_glyser_e,R_EX_glyser_e,0.0,-10.0,1000.0
EX_gthox_e,R_EX_gthox_e,0.0,-10.0,1000.0
EX_gthrd_e,R_EX_gthrd_e,0.0,-10.0,1000.0
EX_gua_e,R_EX_gua_e,0.0,-10.0,1000.0
EX_h2_e,R_EX_h2_e,0.0,-10.0,1000.0
EX_h2o2_e,R_EX_h2o2_e,0.0,-10.0,1000.0
EX_h2o_e,R_EX_h2o_e,0.0,-10.0,1000.0
EX_h2s_e,R_EX_h2s_e,0.0,-10.0,1000.0
EX_h_e,R_EX_h_e,-0.0,-10.0,1000.0
EX_hexs_e,R_EX_hexs_e,0.0,-10.0,1000.0
EX_his__L_e,R_EX_his__L_e,0.0,-10.0,1000.0
EX_hisgly_e,R_EX_hisgly_e,0.0,-10.0,1000.0
EX_hishis_e,R_EX_hishis_e,0.0,-10.0,1000.0
EX_hqn_e,R_EX_hqn_e,0.0,-10.0,1000.0
EX_hxa_e,R_EX_hxa_e,0.0,-10.0,1000.0
EX_hxan_e,R_EX_hxan_e,0.0,-10.0,1000.0
EX_icit_e,R_EX_icit_e,0.0,-10.0,1000.0
EX_id3acald_e,R_EX_id3acald_e,0.0,-10.0,1000.0
EX_ile__L_e,R_EX_ile__L_e,0.0,-10.0,1000.0
EX_ind3ac_e,R_EX_ind3ac_e,0.0,-10.0,1000.0
EX_inost_e,R_EX_inost_e,0.0,-10.0,1000.0
EX_isetac_e,R_EX_isetac_e,0.0,-10.0,1000.0
EX_istfrnA_e,R_EX_istfrnA_e,0.0,-10.0,1000.0
EX_istfrnB_e,R_EX_istfrnB_e,0.0,-10.0,1000.0
EX_k_e,R_EX_k_e,0.0,-10.0,1000.0
EX_leu__L_e,R_EX_leu__L_e,0.0,-10.0,1000.0
EX_leuleu_e,R_EX_leuleu_e,0.0,-10.0,1000.0
EX_lipoate_e,R_EX_lipoate_e,0.0,-10.0,1000.0
EX_lys__L_e,R_EX_lys__L_e,0.0,-10.0,1000.0
EX_lysglugly_e,R_EX_lysglugly_e,0.0,-10.0,1000.0
EX_madg_e,R_EX_madg_e,0.0,-10.0,1000.0
EX_mal__D_e,R_EX_mal__D_e,0.0,-10.0,1000.0
EX_mal__L_e,R_EX_mal__L_e,0.0,-10.0,1000.0
EX_malt_e,R_EX_malt_e,0.0,-8.0,10.0
EX_malttr_e,R_EX_malttr_e,0.0,-10.0,1000.0
EX_maltttr_e,R_EX_maltttr_e,0.0,-10.0,1000.0
EX_man_e,R_EX_man_e,0.0,-6.0,10.0
EX_manglyc_e,R_EX_manglyc_e,0.0,-10.0,1000.0
EX_mbdg_e,R_EX_mbdg_e,0.0,-10.0,1000.0
EX_mcbtt_e,R_EX_mcbtt_e,0.0,-10.0,1000.0
EX_melib_e,R_EX_melib_e,0.0,-5.0,10.0
EX_meoh_e,R_EX_meoh_e,0.0,-10.0,1000.0
EX_met_L_ala__L_e,R_EX_met_L_ala__L_e,0.0,-10.0,1000.0
EX_met__D_e,R_EX_met__D_e,0.0,-10.0,1000.0
EX_met__L_e,R_EX_met__L_e,0.0,-10.0,1000.0
EX_metox__R_e,R_EX_metox__R_e,0.0,-10.0,1000.0
EX_metox_e,R_EX_metox_e,0.0,-10.0,1000.0
EX_metsox_R__L_e,R_EX_metsox_R__L_e,0.0,-10.0,1000.0
EX_metsox_S__L_e,R_EX_metsox_S__L_e,-0.0,0.0,0.0
EX_mg2_e,R_EX_mg2_e,0.0,-10.0,1000.0
EX_mmet_e,R_EX_mmet_e,0.0,-10.0,1000.0
EX_mn2_e,R_EX_mn2_e,0.0,-10.0,1000.0
EX_mnl_e,R_EX_mnl_e,0.0,-5.0,10.0
EX_mobd_e,R_EX_mobd_e,0.0,-10.0,1000.0
EX_mso3_e,R_EX_mso3_e,0.0,-10.0,1000.0
EX_mththf_e,R_EX_mththf_e,0.0,-10.0,1000.0
EX_nac_e,R_EX_nac_e,0.0,-10.0,1000.0
EX_nh4_e,R_EX_nh4_e,0.0,-15.0,10.0
EX_nmn_e,R_EX_nmn_e,0.0,-10.0,1000.0
EX_no2_e,R_EX_no2_e,0.0,-10.0,1000.0
EX_no3_e,R_EX_no3_e,0.0,-10.0,1000.0
EX_o2_e,R_EX_o2_e,0.0,-20.0,10.0
EX_octa_e,R_EX_octa_e,0.0,-10.0,1000.0
EX_oxa_e,R_EX_oxa_e,0.0,-10.0,1000.0
EX_pacald_e,R_EX_pacald_e,0.0,-10.0,1000.0
EX_phe__L_e,R_EX_phe__L_e,0.0,-10.0,1000.0
EX_pheme_e,R_EX_pheme_e,0.0,-10.0,1000.0
EX_pi_e,R_EX_pi_e,0.0,-5.0,10.0
EX_pnto__R_e,R_EX_pnto__R_e,0.0,-10.0,1000.0
EX_ppa_e,R_EX_ppa_e,0.0,-10.0,1000.0
EX_pro__L_e,R_EX_pro__L_e,0.0,-10.0,1000.0
EX_progly_e,R_EX_progly_e,0.0,-10.0,1000.0
EX_prohisglu_e,R_EX_prohisglu_e,-0.0,-10.0,1000.0
EX_ptrc_e,R_EX_ptrc_e,0.0,-10.0,1000.0
EX_pyovd_kt_e,R_EX_pyovd_kt_e,0.0,-10.0,1000.0
EX_pyr_e,R_EX_pyr_e,0.0,-10.0,1000.0
EX_rib__D_e,R_EX_rib__D_e,0.0,-10.0,1000.0
EX_ribflv_e,R_EX_ribflv_e,0.0,-10.0,1000.0
EX_s_e,R_EX_s_e,0.0,-10.0,1000.0
EX_salchs2_e,R_EX_salchs2_e,0.0,-10.0,1000.0
EX_salchs2fe_e,R_EX_salchs2fe_e,0.0,-10.0,1000.0
EX_salchs4_e,R_EX_salchs4_e,0.0,-10.0,1000.0
EX_salchs4fe_e,R_EX_salchs4fe_e,0.0,-10.0,1000.0
EX_salcn_e,R_EX_salcn_e,0.0,-10.0,1000.0
EX_ser__D_e,R_EX_ser__D_e,0.0,-10.0,1000.0
EX_ser__L_e,R_EX_ser__L_e,0.0,-10.0,1000.0
EX_serglugly_e,R_EX_serglugly_e,0.0,-10.0,1000.0
EX_so3_e,R_EX_so3_e,0.0,-10.0,1000.0
EX_so4_e,R_EX_so4_e,0.0,-10.0,1000.0
EX_spmd_e,R_EX_spmd_e,0.0,-10.0,1000.0
EX_stfrnA_e,R_EX_stfrnA_e,0.0,-10.0,1000.0
EX_stfrnB_e,R_EX_stfrnB_e,0.0,-10.0,1000.0
EX_succ_e,R_EX_succ_e,0.0,-10.0,1000.0
EX_sucr_e,R_EX_sucr_e,0.0,-9.0,10.0
