reaction_id,reaction_name,distance_from_PHB,flux,abs_flux,capacity_bound,flux_to_capacity_ratio,bottleneck_score
FACOAL140t2pp,Fatty-acid-CoA ligase (tetradecanoate transport via vectoral Co-A coupling),1,0.9490709039202063,0.9490709039202063,1000.0,0.0009490709039202064,4.536499651313574e-05
TTDCAtexi,Tetradecanoate transport via facilitated irreversible diffusion (extracellular to periplasm),2,0.9490709039202062,0.9490709039202062,1000.0,0.0009490709039202063,4.536499651313573e-05
ACACT5r_1,Acetyl CoA C acyltransferase  decanoyl CoA,1,-0.9469865716044766,0.9469865716044766,1000.0,0.0009469865716044767,4.516595575220425e-05
ECOAH4,3-hydroxyacyl-CoA dehydratase (3-hydroxydecanoyl-CoA),2,-0.9469865716044765,0.9469865716044765,1000.0,0.0009469865716044766,4.516595575220424e-05
HACD4,3-hydroxyacyl-CoA dehydrogenase (3-oxodecanoyl-CoA),2,-0.9469865716044765,0.9469865716044765,1000.0,0.0009469865716044766,4.516595575220424e-05
RHACOAR80,3R  3 Hydroxyacyl CoANADP oxidoreductase,2,-0.9469865716044765,0.9469865716044765,1000.0,0.0009469865716044766,4.516595575220424e-05
HACD2,3-hydroxyacyl-CoA dehydrogenase (3-oxohexanoyl-CoA),2,-0.9469865716044765,0.9469865716044765,1000.0,0.0009469865716044766,4.516595575220424e-05
ECOAH2,3-hydroxyacyl-CoA dehydratase (3-hydroxyhexanoyl-CoA),2,-0.9469865716044765,0.9469865716044765,1000.0,0.0009469865716044766,4.516595575220424e-05
HACD5,3-hydroxyacyl-CoA dehydrogenase (3-oxododecanoyl-CoA),2,-0.9469865716044765,0.9469865716044765,1000.0,0.0009469865716044766,4.516595575220424e-05
ACOAD4_1,Acyl CoA dehydrogenase  decanoyl CoA,2,0.9469865716044765,0.9469865716044765,1000.0,0.0009469865716044766,4.516595575220424e-05
ACACT4r,Acetyl-CoA C-acyltransferase (octanoyl-CoA) (r),1,-0.9469865716044763,0.9469865716044763,1000.0,0.0009469865716044763,4.5165955752204225e-05
ACOAD3,Acyl-CoA dehydrogenase (octanoyl-CoA),2,0.9469865716044764,0.9469865716044764,1000.0,0.0009469865716044765,4.5165955752204225e-05
ACACT3r,Acetyl-CoA C-acyltransferase (hexanoyl-CoA) (r),1,-0.9469865716044763,0.9469865716044763,1000.0,0.0009469865716044763,4.5165955752204225e-05
ACOAD5_1,Acyl CoA dehydrogenase  dodecanoyl CoA,2,0.9469865716044764,0.9469865716044764,1000.0,0.0009469865716044765,4.5165955752204225e-05
HACD6,3-hydroxyacyl-CoA dehydrogenase (3-oxotetradecanoyl-CoA),2,-0.9469865716044764,0.9469865716044764,1000.0,0.0009469865716044765,4.5165955752204225e-05
RECOAH3,3 hydroxyacyl Coa dehydratase   3R  3 hydroxyoctanoyl CoA,2,-0.9469865716044763,0.9469865716044763,1000.0,0.0009469865716044763,4.5165955752204225e-05
ACOAD2,Acyl-CoA dehydrogenase (hexanoyl-CoA),2,-0.9469865716044764,0.9469865716044764,1000.0,0.0009469865716044765,4.5165955752204225e-05
ACACT2r,Acetyl-CoA C-acyltransferase (butanoyl-CoA) (r),1,-0.9469865716044763,0.9469865716044763,1000.0,0.0009469865716044763,4.5165955752204225e-05
ACOAD6,Acyl-CoA dehydrogenase (tetradecanoyl-CoA),2,0.9469865716044763,0.9469865716044763,1000.0,0.0009469865716044763,4.5165955752204225e-05
