glucose_uptake,o2_uptake,nh4_uptake,PHB_flux_output
8.984375,5.37109375,4.8046875,3.0474817254950506
8.984375,19.23828125,7.3828125,3.937981513908592
8.984375,5.37109375,7.3828125,3.0474817254946154
10.078125,19.23828125,7.3828125,3.937981513908643
10.078125,5.37109375,4.8046875,3.0474817254945687
10.078125,5.37109375,7.3828125,3.047481725494688
6.484375,9.86328125,1.0546875,3.9051026751074773
12.578125,9.86328125,1.0546875,3.9051026751074907
6.484375,2.24609375,1.0546875,3.3224318111007265
6.484375,9.86328125,8.6328125,3.9051026751071904
6.484375,2.24609375,8.6328125,3.3224318111007762
12.578125,9.86328125,8.6328125,3.905102675107473
12.578125,2.24609375,1.0546875,3.322431811100545
12.578125,2.24609375,8.6328125,3.3224318111007216
16.484375,22.36328125,6.0546875,3.9379815139087575
2.578125,22.36328125,6.0546875,3.9379815139087175
16.484375,14.74609375,6.0546875,3.9379815139087433
16.484375,22.36328125,3.6328125,3.9379815139086856
16.484375,14.74609375,3.6328125,3.9379815139086745
2.578125,22.36328125,3.6328125,3.9379815139086176
2.578125,14.74609375,6.0546875,3.9379815139086536
2.578125,14.74609375,3.6328125,3.9379815139087677
11.484375,3.61328125,3.5546875,3.2209051283197248
17.578125,3.61328125,3.5546875,3.2209051283197523
11.484375,20.99609375,3.5546875,3.9379815139086904
11.484375,3.61328125,1.1328125,3.2209051283198433
11.484375,20.99609375,1.1328125,3.9379815139087375
17.578125,3.61328125,1.1328125,3.2209051283197527
17.578125,20.99609375,3.5546875,3.9379815139087317
17.578125,20.99609375,1.1328125,3.9379815139086016
1.484375,16.11328125,8.5546875,3.9379815139086203
7.578125,16.11328125,8.5546875,3.9379815139086225
1.484375,8.49609375,8.5546875,3.645800095769657
1.484375,16.11328125,6.1328125,3.937981513908637
1.484375,8.49609375,6.1328125,3.6458000957696406
7.578125,16.11328125,6.1328125,3.93798151390876
7.578125,8.49609375,8.5546875,3.6458000957696397
7.578125,8.49609375,6.1328125,3.6458000957696983
2.109375,4.39453125,1.9921875,3.0733852011273735
11.953125,4.39453125,1.9921875,3.073385201127423
2.109375,17.08984375,1.9921875,3.937981513908611
2.109375,4.39453125,3.3203125,3.0733852011274014
2.109375,17.08984375,3.3203125,3.9379815139088064
11.953125,4.39453125,3.3203125,3.0733852011273726
11.953125,17.08984375,1.9921875,3.9379815139086496
11.953125,17.08984375,3.3203125,3.937981513908149
12.109375,16.89453125,6.9921875,3.937981513908711
1.953125,16.89453125,6.9921875,3.93798151390873
12.109375,4.58984375,6.9921875,3.023592719749256
12.109375,16.89453125,8.3203125,3.937981513908689
12.109375,4.58984375,8.3203125,3.02359271974931
1.953125,16.89453125,8.3203125,3.937981513908425
1.953125,4.58984375,6.9921875,3.0235927197493058
1.953125,4.58984375,8.3203125,3.0235927197493897
17.109375,10.64453125,4.4921875,3.9379815139085554
16.953125,10.64453125,4.4921875,3.9379815139087024
17.109375,10.83984375,4.4921875,3.9379815139090955
17.109375,10.64453125,5.8203125,3.9379815139082712
17.109375,10.83984375,5.8203125,3.9379815139090555
16.953125,10.64453125,5.8203125,3.937981513908631
16.953125,10.83984375,4.4921875,3.9379815139088072
16.953125,10.83984375,5.8203125,3.93798151390876
7.109375,23.14453125,9.4921875,3.937981513908574
6.953125,23.14453125,9.4921875,3.9379815139086327
7.109375,23.33984375,9.4921875,3.9379815139087206
7.109375,23.14453125,0.8203125,3.9379815139086545
7.109375,23.33984375,0.8203125,3.9379815139086354
6.953125,23.14453125,0.8203125,3.937981513908845
6.953125,23.33984375,9.4921875,3.9379815139086354
6.953125,23.33984375,0.8203125,3.937981513908652
9.609375,7.51953125,5.7421875,3.4597881910093355
9.453125,7.51953125,5.7421875,3.4597881910077724
9.609375,20.21484375,5.7421875,3.937981513908689
9.609375,7.51953125,4.5703125,3.459788191007942
9.609375,20.21484375,4.5703125,3.93798151390856
9.453125,7.51953125,4.5703125,3.4597881910077475
9.453125,20.21484375,5.7421875,3.937981513908673
9.453125,20.21484375,4.5703125,3.937981513908886
19.609375,20.01953125,0.7421875,3.9379815139086967
19.453125,20.01953125,0.7421875,3.9379815139086385
19.609375,7.71484375,0.7421875,3.496990571960108
19.609375,20.01953125,9.5703125,3.937981513908622
19.609375,7.71484375,9.5703125,3.49699057196013
19.453125,20.01953125,9.5703125,3.9379815139087575
19.453125,7.71484375,0.7421875,3.496990571960142
19.453125,7.71484375,9.5703125,3.4969905719601004
14.609375,1.26953125,8.2421875,3.185729740532827
4.453125,1.26953125,8.2421875,3.1857297405327745
14.609375,1.46484375,8.2421875,3.2998091299648626
14.609375,1.26953125,7.0703125,3.185729740532857
14.609375,1.46484375,7.0703125,3.2998091299649785
4.453125,1.26953125,7.0703125,3.18572974053281
4.453125,1.46484375,8.2421875,3.2998091299649652
4.453125,1.46484375,7.0703125,3.2998091299649706
4.609375,13.76953125,3.2421875,3.9379815139086514
14.453125,13.76953125,3.2421875,3.9379815139086847
4.609375,13.96484375,3.2421875,3.937981513908694
4.609375,13.76953125,2.0703125,3.937981513908727
4.609375,13.96484375,2.0703125,3.93798151390883
14.453125,13.76953125,2.0703125,3.937981513908631
14.453125,13.96484375,3.2421875,3.937981513908779
14.453125,13.96484375,2.0703125,3.937981513908631
3.359375,12.20703125,7.6171875,3.937981513908765
18.203125,12.20703125,7.6171875,3.9379815139087704
3.359375,6.15234375,7.6171875,3.1993715243411454
3.359375,12.20703125,0.1953125,3.9379815139086385
3.359375,6.15234375,0.1953125,3.199371524341145
18.203125,12.20703125,0.1953125,3.9379815139087477
18.203125,6.15234375,7.6171875,3.1993715243411063
18.203125,6.15234375,0.1953125,3.1993715243410636
13.359375,24.70703125,2.6171875,3.9379815139086687
8.203125,24.70703125,2.6171875,3.9379815139086376
13.359375,18.65234375,2.6171875,3.9379815139086602
13.359375,24.70703125,5.1953125,3.9379815139086203
13.359375,18.65234375,5.1953125,3.9379815139087424
8.203125,24.70703125,5.1953125,3.9379815139086856
8.203125,18.65234375,2.6171875,3.937981513908663
8.203125,18.65234375,5.1953125,3.937981513908596
18.359375,5.95703125,5.1171875,3.162169143388692
13.203125,5.95703125,5.1171875,3.1621691433886117
18.359375,24.90234375,5.1171875,3.93798151390768
18.359375,5.95703125,7.6953125,3.162169143388727
18.359375,24.90234375,7.6953125,3.937981513908592
13.203125,5.95703125,7.6953125,3.162169143388743
13.203125,24.90234375,5.1171875,3.937981513908667
13.203125,24.90234375,7.6953125,3.9379815139087424
8.359375,18.45703125,0.1171875,3.937981513908764
3.203125,18.45703125,0.1171875,3.9379815139086394
8.359375,12.40234375,0.1171875,3.937981513908667
8.359375,18.45703125,2.6953125,3.937981513908803
8.359375,12.40234375,2.6953125,3.937981513908778
3.203125,18.45703125,2.6953125,3.937981513908625
3.203125,12.40234375,0.1171875,3.9379815139087753
3.203125,12.40234375,2.6953125,3.9379815139087206
5.859375,2.83203125,3.8671875,3.3349623415328584
0.703125,2.83203125,3.8671875,3.334962341534763
5.859375,9.27734375,3.8671875,3.7946096195818577
5.859375,2.83203125,1.4453125,3.334962341533063
5.859375,9.27734375,1.4453125,3.794609619570558
0.703125,2.83203125,1.4453125,3.3349623415328735
