reaction_id,reaction_name,subsystem,distance_from_PHB,minimum,maximum,flux_range
FACOAL161,Fatty acid  CoA ligase  hexadecenoate,,1,0.0,2.5776666666666124,2.5776666666666124
FACOAL161t2pp,Fatty-acid-CoA ligase (hexadecenoate transport via vectoral Co-A coupling),,1,0.0,0.859222222222209,0.859222222222209
FACOAL170_ISO,Fatty acid  CoA ligase  Iso C170,,1,0.0011223327853930863,0.0012470364282145378,0.00012470364282145155
FACOAL170_anteiso,Fatty acid  CoA ligase  anteiso C170,,1,0.0027256653359546378,0.0030285170399495854,0.00030285170399494766
FACOAL180_2,Fatty acid  CoA ligase  octadecanoate,,1,0.00048099976516846534,0.000534444183520515,5.3444418352049656e-05
FACOAL180t2pp,Fatty-acid-CoA ligase (octadecanoate transport via vectoral Co-A coupling),,1,0.0,0.8592222222221992,0.8592222222221992
FACOAL181,Fatty acid  CoA ligase  octadecenoate,,1,0.0,0.25807129985126975,0.25807129985126975
FACOAL181t2pp,Fatty-acid-CoA ligase (octadecenoate transport via vectoral Co-A coupling),,1,0.0,0.21505941654272473,0.21505941654272473
FACOAL60t2pp,Fatty-acid-CoA ligase (hexanoate transport via vectoral Co-A coupling),,1,0.0,1.0913751387231079,1.0913751387231079
FACOAL80t2pp,Fatty-acid-CoA ligase (octanoate transport via vectoral Co-A coupling),,1,0.0,1.091375138723115,1.091375138723115
FAS140,Fatty acid synthase  n C140,,1,0.0,0.6063195215128505,0.6063195215128505
G1PACT,Glucosamine-1-phosphate N-acetyltransferase,,1,0.05852163809549664,1.3473549714288084,1.2888333333333117
G3POA_BS,Glycerol 3 phosphate O acyltransferase,,1,0.008016662752807758,0.008907403058675264,0.0008907403058675059
GLYAT,Glycine C-acetyltransferase,,1,-5.990143031044011,5.310010431984139,11.300153463028149
Growth,Biomass reaction,,1,0.40083313764038786,0.44537015293376364,0.04453701529337578
HIBHr,3 hydroxyisobutyryl CoA hydrolase,,1,0.0,1.8159122326924968,1.8159122326924968
HSERTA,Homoserine O trans acetylase,,1,0.0,1.1887450435189553,1.1887450435189553
IPPS,2-isopropylmalate synthase,,1,0.0,2.5776666666665955,2.5776666666665955
KAS1,B-ketoacyl synthetase (Iso-C14:0),,1,0.00016033325505615518,0.00017814806117350546,1.7814806117350283e-05
KAS11,B-ketoacyl synthetase (Iso-C17:0),,1,0.0011223327853930863,0.0012470364282145391,0.00012470364282145285
KAS12,B-ketoacyl synthetase (Anteiso-C17:0),,1,0.0027256653359546378,0.003028517039949594,0.00030285170399495633
KAS13,B-ketoacyl synthetase (octadecanoate),,1,0.00048099976516846534,0.0005344441835205165,5.3444418352051174e-05
KAS17,B-ketoacyl synthetase (n-C18:1),,1,0.0,0.258071299851271,0.258071299851271
KAS2,B-ketoacyl synthetase (n-C14:0),,1,0.0,0.3209926878597449,0.3209926878597449
KAS3,B-ketoacyl synthetase (Iso-C15:0),,1,0.0032066651011231025,0.0035629612234701047,0.0003562961223470022
KAS4,B-ketoacyl synthetase (Anteiso-C15:0),,1,0.005451330671909275,0.006057034079899069,0.0006057034079897947
KAS6,B-ketoacyl synthetase (Iso-C16:0),,1,0.0008016662752807759,0.0008907403058675102,8.907403058673439e-05
KAS7,B-ketoacyl synthetase (n-C16:1),,1,0.0,0.2867458887235629,0.2867458887235629
KAS8,"B-ketoacyl synthetase (palmitate, n-C16:0)",,1,0.0,0.2867458887236323,0.2867458887236323
MACCOAT,2-Methylacetyl-CoA thiolase,,1,0.0,1.8159122326924657,1.8159122326924657
MALS,Malate synthase,,1,0.0,1.9307074362309868,1.9307074362309868
MCITS,2-methylcitrate synthase,,1,0.0,2.179094679230957,2.179094679230957
MMSAD1,Methylmalonate semialdehyde dehydrogenase,,1,0.0,1.815912232692477,1.815912232692477
MMSAD2,Methylmalonate-semialdehyde dehydrogenase (propanol),,1,0.0,2.179094679230974,2.179094679230974
MMSAD3,Methylmalonate-semialdehyde dehydrogenase (malonic semialdehyde),,1,0.0,2.0621333333333083,2.0621333333333083
MMSDHir,Methylmalonate semialdehyde dehydrogenase  acylating,,1,0.0,1.8159122326924537,1.8159122326924537
NPHS,Naphthoate synthase,,1,0.0,4.453701529337642e-05,4.453701529337642e-05
OBDHc,"2-Oxobutanoate dehydrogenase, cytosolic",,1,0.0,1.8159122326924864,1.8159122326924864
OIVD1r,2-oxoisovalerate dehydrogenase (acylating; 4-methyl-2-oxopentaoate),,1,-8.249146818842373,1.0248118248973035,9.273958643739677
OIVD2,2-oxoisovalerate dehydrogenase (acylating; 3-methyl-2-oxobutanoate),,1,0.0,1.0913751387230948,1.0913751387230948
OIVD3,2-oxoisovalerate dehydrogenase (acylating; 3-methyl-2-oxopentanoate),,1,0.008176996007863913,1.8240892287003263,1.8159122326924624
OXDHCOAT,"3-oxo-5,6-dehydrosuberyl-CoA thiolase",,1,0.0,1.930707436230998,1.930707436230998
PACCOAL,Phenylacetate-CoA ligase,,1,0.0,1.9307074362310002,1.9307074362310002
PBUTT,Phosphate butyryltransferase,,1,-10.0,10.000000000000002,20.0
PDH,Pyruvate dehydrogenase,,1,0.0,2.57766666666653,2.57766666666653
PDHbr,Pyruvate dehydrogenase (dihydrolipoamide) reversible,,1,0.0,2.5776666666665977,2.5776666666665977
POR_syn,Pyruvate-ferredoxin oxidoreductase,,1,0.0,2.5776666666666395,2.5776666666666395
PTA2,Phosphate acetyltransferase,,1,0.0,11.710142772010766,11.710142772010766
PTAr,Phosphotransacetylase,,1,-10.0,10.0,20.0
PTRCAT1,Putrescine acetyltransferase,,1,0.0,1.1349771642771953,1.1349771642771953
SERAT,Serine O-acetyltransferase,,1,0.0,2.5776666666665884,2.5776666666665884
SSCOARy,Succinyl-coA reductase (NADPH),,1,-5.792122308693117,2.51951008735122,8.311632396044338
SUCBZL,O-succinylbenzoate-CoA ligase,,1,0.0,0.5523571428571298,0.5523571428571298
SUCOAS,Succinyl-CoA synthetase (ADP-forming),,1,-10.0,2.6997753393730552,12.699775339373055
THDPS,Tetrahydrodipicolinate succinylase,,1,0.0,1.3616168148826209,1.3616168148826209
THPAT,"L-2,3,4,5-tetrahydrodipicolinate N2-acetyltransferase",,1,0.0,0.0,0.0
METSR_S1,L methionine S oxide reductase  trdrd,,2,0.0,0.0,0.0
MGCH,Methylglutaconyl-CoA hydratase,,2,0.0,1.148951238169137,1.148951238169137
MGSA,Methylglyoxal synthase,,2,0.0,2.179094679230966,2.179094679230966
MGt5,Magnesium transport in/out via permease (no H+),,2,-0.0038635860767003956,-0.0034772274690303643,0.0003863586076700313
MOBDabc_rev,T06232b,,2,0.0,1.2888333333332882,1.2888333333332882
MOBDabcpp,Molybdate transport via ABC system (periplasm),,2,0.0,1.288833333333312,1.288833333333312
MOHMT,3-methyl-2-oxobutanoate hydroxymethyltransferase,,2,0.0,0.00025653065505872323,0.00025653065505872323
MPTG,Murein polymerizing transglycosylase,,2,0.0,0.14320370370370183,0.14320370370370183
MPTG2,Murein polymerizing transglycosylase 2 (three linked units),,2,0.0,0.0954691358024669,0.0954691358024669
MSO3abc,Methanesulfonate transport via ABC system,,2,0.0,0.411768364256142,0.411768364256142
MSO3abcpp,Methanesulfonate transport via ABC system (periplasm),,2,0.0,0.41176836425614505,0.41176836425614505
MSULR,Metanesulfonate reductase  NADPH2,,2,-0.4117683642561481,0.0,0.4117683642561481
MTAM_1,,,2,-10.0,0.0,10.0
MTAN,Methylthioadenosine nucleosidase,,2,0.0,0.3915443037974555,0.3915443037974555
MTHFC,Methenyltetrahydrofolate cyclohydrolase,,2,-10.0,0.6674958669775376,10.667495866977537
MTHFC_1,Methenyltetrahydrofolate cyclohydrolase,,2,0.0,10.66749586697754,10.66749586697754
MTHFD,Methylenetetrahydrofolate dehydrogenase (NADP),,2,-10.0,0.6674958669773954,10.667495866977395
MTHFD2i,Methylenetetrahydrofolate dehydrogenase  NAD,,2,0.0,10.66749586697754,10.66749586697754
MTHFR3,5 10 methylenetetrahydrofolatereductase  NADPH,,2,0.0,0.4509843989472058,0.4509843989472058
MTHTHFSs,"(2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran synthesis (spontaneous)",,2,0.0,4.41885714285702,4.41885714285702
MTRK,5-methylthioribose kinase,,2,0.0,0.3915443037974616,0.3915443037974616
MYCTR,MYCTR,,2,-10.0,0.0,10.0
NABTNO,N4 AcetylaminobutanalNAD oxidoreductase,,2,0.0,1.1349771642771902,1.1349771642771902
NADDP,NAD diphosphatase,,2,0.0,12.576753568779031,12.576753568779031
NADDPp_1,"NAD diphosphatase, peroxisomal",,2,-10.0,2.5767535687791128,12.576753568779113
NADH10,NADH dehydrogenase (menaquinone-8 & 0 protons),,2,0.0,40.80107102075139,40.80107102075139
NADH4,NADH dehydrogenase  Menaquinone 7  no proton,,2,0.0,40.00009828217621,40.00009828217621
NADH5,NADH dehydrogenase (ubiquinone-8 ),,2,0.0,38.20639739380658,38.20639739380658
NADH9,NADH dehydrogenase (demethylmenaquinone-8 & 0 protons),,2,0.0,21.051891372516362,21.051891372516362
NADHPO,NADH peroxidase,,2,0.0,19.277377870424978,19.277377870424978
NADK,NAD kinase,,2,0.0,10.000199080458351,10.000199080458351
NADK1,NAD kinase  GTP,,2,0.0,10.000199080458353,10.000199080458353
NADK2,NAD kinase  dATP,,2,0.0,10.000199080458353,10.000199080458353
NADK3,NAD kinase  dGTP,,2,0.0,10.000199080458353,10.000199080458353
NADK4,NAD kinase  dCTP,,2,0.0,10.000199080458358,10.000199080458358
NADK5,NAD kinase  dTTP,,2,0.0,10.000199080458357,10.000199080458357
NADK_1,NAD kinase,,2,0.0,0.0,0.0
NADKd,NAD kinase dTTP,,2,-10.0,0.00019908045837250756,10.000199080458373
NADN,NAD nucleosidase,,2,0.0,2.577666666666615,2.577666666666615
NADPHQR2,NADPH Quinone Reductase (Ubiquinone-8),,2,0.0,38.20639739380653,38.20639739380653
NADPHQR3,NADPH Quinone Reductase (Menaquinone-8),,2,0.0,40.801071020751415,40.801071020751415
NADS1,NAD synthase (nh3),,2,0.0,1.2888333333332844,1.2888333333332844
NADS2,Nicotinate-mononucleotide adenylyltransferase,,2,0.0,0.8592222222221785,0.8592222222221785
NADTRHD,NAD transhydrogenase,,2,0.0,74.84834277729,74.84834277729
NAPRT,NAPRTase (rev),,2,-10.0,-7.4214202354458365,2.5785797645541635
NAabc,,,2,0.0,2.5776666666666177,2.5776666666666177
NAabcO,Sodium transport out via ABC system,,2,0.0,2.5776666666666297,2.5776666666666297
NAt3_1,Sodium proton antiporter  HNA is 11,,2,0.0,77.82923766701286,77.82923766701286
NAt3_2,Sodium proton antiporter (H:NA is 2),,2,0.0,51.8861584446752,51.8861584446752
